sample_id,image_path,question,ground_truths,prediction_claude_sonnet__claude_sonnet,inference_time_ms_claude_sonnet__claude_sonnet,extracted_text_claude_sonnet__claude_sonnet,error_claude_sonnet__claude_sonnet,prediction_gpt-5-mini__gpt-5-mini,inference_time_ms_gpt-5-mini__gpt-5-mini,extracted_text_gpt-5-mini__gpt-5-mini,error_gpt-5-mini__gpt-5-mini,prediction_gpt-5-nano__gpt-5-nano,inference_time_ms_gpt-5-nano__gpt-5-nano,extracted_text_gpt-5-nano__gpt-5-nano,error_gpt-5-nano__gpt-5-nano
chartqapro_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0000.png,['what was the absolute difference in the cutoff percentage for the obc category between 2014 and 2016?'],"[""['13.4']""]",,3580.228090286255,,Error when retrieving token from sso: Token has expired and refresh failed,The OBC cutoff fell from 31.39% in 2014 to 18% in 2016 — an absolute difference of 13.39 percentage points (≈13.4%).,4280.802965164185,,,"13.39 percentage points.  
(From 31.39% in 2014 to 18% in 2016.)",8443.148136138916,,
chartqapro_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0001.png,"['what is the percentage of comments in terms of the following categories: likes, dislikes, comments, and shares?']","[""['9.09%']""]",,3588.0000591278076,,Error when retrieving token from sso: Token has expired and refresh failed,"Comments = 39. Total (likes + dislikes + comments + shares) = 271 + 6 + 39 + 113 = 429. 

Percentage of comments = 39 / 429 ≈ 0.0909 → about 9.1% (≈9%).",6415.623903274536,,,"About 9.1%.

Calculation:
- Likes = 271, Dislikes = 6, Comments = 39, Shares = 113
- Total = 271 + 6 + 39 + 113 = 429
- Comments % = 39 / 429 ≈ 0.0909 ≈ 9.1%",5964.548826217651,,
chartqapro_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0002.png,"['what is the difference between the number of endorsements for ""dashboard"" and the average number of endorsements for the other four skills?']","[""['27']""]",,3609.288930892944,,Error when retrieving token from sso: Token has expired and refresh failed,27 endorsements. (Dashboard = 91; average of the other four = (68+66+66+56)/4 = 64; 91 − 64 = 27),6270.090103149414,,,"27 endorsements.

Calculation:
- Other four endorsements: 68, 66, 66, 56 → average = (68+66+66+56)/4 = 256/4 = 64
- Dashboard endorsements = 91
- Difference = 91 − 64 = 27",6617.009162902832,,
chartqapro_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0003.png,['what is the approximate financial impact of the gross energy price rise on the poorest income decile in 2022-23?'],"[""['-750']""]",,3615.8838272094727,,Error when retrieving token from sso: Token has expired and refresh failed,"About a £1.1k hit — roughly £1,000–£1,200 higher costs for the poorest decile in 2022–23.",8089.010953903198,,,About £600 (a roughly six-hundred-pound impact for the poorest decile in 2022-23).,12945.111989974976,,
chartqapro_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0004.png,['how much higher is the approval of gender equality in western societies compared to muslim societies?'],"[""['27%']""]",,3655.0991535186768,,Error when retrieving token from sso: Token has expired and refresh failed,About 25 percentage points higher — 60% in Western societies versus 35% in Muslim societies.,5200.28281211853,,,About 27 percentage points higher — 82% in Western societies vs. 55% in Muslim societies.,6216.955900192261,,
chartqapro_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0005.png,"[""by how many feet does the willis tower's antenna fall short of reaching the one world trade center's mast height?""]","[""['47']""]",,3585.623025894165,,Error when retrieving token from sso: Token has expired and refresh failed,47 feet,4283.7090492248535,,,"47 feet.  
(One World Trade Center mast height: 1,776 ft; Willis Tower antenna height: 1,729 ft; difference = 1,776 − 1,729 = 47 ft.)",6265.056133270264,,
chartqapro_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0006.png,['what is the approximate difference between the delay at 3pm and average response time of the network performance rounded to 5?'],"[""['125']""]",,3598.0539321899414,,Error when retrieving token from sso: Token has expired and refresh failed,"The average server response time is about 125 ms and the delay at 3:00 PM is roughly 210 ms, so the difference is about 85 ms (rounded to the nearest 5).",10341.742038726808,,,Approximately 50 ms. (Delay at 3 pm ≈ 175 ms vs. average response time ≈ 124.81 ms),10079.40411567688,,
chartqapro_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0007.png,['what is the difference in the wage increase gap between workers who switch jobs and those who stay as of july 2021?'],"[""['1.9']""]",,3578.8679122924805,,Error when retrieving token from sso: Token has expired and refresh failed,About 1.9 percentage points (switchers ~5.4% vs stayers ~3.5% in July 2021).,4509.062051773071,,,About 1.9 percentage points. Switchers: ~5.4% vs stayers: ~3.5% as of July 2021.,5589.46418762207,,
chartqapro_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0008.png,['what is the percentage difference between the average fte salary of the engineering industry and the hospitality & tourism industry?'],"[""['89.99']""]",,3862.296104431152,,Error when retrieving token from sso: Token has expired and refresh failed,"Engineering average FTE = $118,496; Hospitality & Tourism = $62,371. 
Difference = $56,125, which is about 90% higher than Hospitality & Tourism (56,125 / 62,371 ≈ 89.95%). 
(If you use engineering as the base, Hospitality is about 47% lower than Engineering (56,125 / 118,496 ≈ 47.4%).)",9184.283018112184,,,"- Engineering average FTE salary: about $118,496
- Hospitality & Tourism average FTE salary: about $62,371
- Difference: $118,496 − $62,371 = $56,125
- Percentage difference (relative to Hospitality & Tourism): $56,125 / $62,371 ≈ 0.90 → about 90% higher for Engineering

So the engineering industry’s average FTE salary is roughly 90% higher than that of Hospitality & Tourism.",9021.05689048767,,
chartqapro_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0009.png,['how many times the retail sales growth went below the average annual percentage change from 2002 to 2010 by more than 2%'],"[""['3']""]",,3580.540180206299,,Error when retrieving token from sso: Token has expired and refresh failed,"Three times — the growth fell more than 2% below the 6.1% average (i.e. below ~4.1%) in 2005, late‑2008 and 2009.",9702.208995819092,,,"3 times.

Reason: Using the avg 6.1% p.a. (2002–2010) minus 2% threshold gives 4.1%. The years in 2002–2010 where growth dropped below 4.1% are 2005, 2008, and 2010 (3 instances).",13775.05612373352,,
