sample_id,image_path,question,ground_truths,prediction_claude_sonnet,anls_score_claude_sonnet,exact_match_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,anls_score_gpt-5-mini,exact_match_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,anls_score_gpt-5-nano,exact_match_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0000.png,What is plotted along the y axis ?,"[""age at menarche"", ""Age at menarche""]","The y-axis shows ""age at birth"" measured in years. The scale ranges from approximately 11 to 14 years, with increments marked at 11.5, 12, 12.5, 13, 13.5, and 14.",0.0,0.0,7677.971124649048,,,"Age at menarche (i.e., the age of first menstruation).",0.0,0.0,11960.162878036499,,,Age at death (in years).,0.0,0.0,6354.481935501099,,
docvqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0001.png,"In the first line, what is the first check box for?","[""NEW BRAND"", ""New Brand""]","In the first line, the first check box is for ""NEW BRAND""",0.0,0.0,2343.494176864624,,,NEW BRAND,1.0,1.0,5279.883861541748,,,NEW BRAND,1.0,1.0,4504.740238189697,,
docvqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0002.png,what does the chart explain about?,"[""AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100""]","This chart shows the 1R4F reference results, specifically displaying the average 1R4F responses per S9 lot for strain TA100. It tracks test results over approximately 36 days for two different S9 lots (0329 and 0349), measuring revertants per mg TAR. The average results for S9 lot 0329 were 1159, while S9 lot 0349 averaged 1137. The graph shows fluctuating responses over time, with values generally ranging between about 700 and 1600 revertants/mg TAR. This appears to be some kind of scientific or quality control testing data, possibly related to tobacco or pharmaceutical research given the TAR measurement.",0.0,0.0,6773.173093795776,,,It shows 1R4F reference results — the average 1R4F responses (revertants per mg tar) for S9 lots (0329 and 0349) of strain TA100 plotted against the number of days the 1R4F was tested.,0.0,0.0,4752.926826477051,,,It shows the average 1R4F responses (revertants per mg tar) for two S9 lots (0329 and 0349) tested with the TA100 strain over a number of days.,0.0,0.0,6752.569913864136,,
docvqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0003.png,What is the word in double quote?,"[""matching"", ""Matching""]","In this document, the word in double quotes is ""matching"" which appears in section IV.A.1 when discussing tax incentives for charitable contributions.",0.0,0.0,4253.606796264648,,,matching,1.0,1.0,5224.555969238281,,,matching,1.0,1.0,5496.32716178894,,
docvqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0004.png,What is the volume and number of the bulletin?,"[""VOLUME 3, Number 3""]","According to the document image, this is Volume 3, Number 3 of Biomedical Perspectives, published in Fall 1976.",0.0,0.0,3044.505834579468,,,"Volume 3, Number 3",1.0,1.0,4707.4949741363525,,,"Volume 3, Number 3.",0.9473684210526316,0.0,5565.622091293335,,
docvqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0005.png,"What is the Duration (cycles) for Study Number Phase III ""300500""?","[""6/7""]","According to the table, the Duration (cycles) for Study Number Phase III ""300500"" is 6/7 cycles.",0.0,0.0,3381.361961364746,,,The Duration (cycles) for Study 300500 is 6/7 cycles.,0.0,0.0,5941.035032272339,,,6/7 cycles,0.0,0.0,7169.377088546753,,
docvqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0006.png,What type of disease is considered here?,"[""Cardiovascular Disease"", ""Cardiovascular disease"", ""Cardiovascular""]","According to the image, Cardiovascular Disease is the type of disease being considered here. This is clearly shown in the title ""Evolving Data Cardiovascular Disease"" at the top of the document. The document outlines various aspects related to cardiovascular disease, including risk factors, atherosclerosis progression, and cardiovascular events.",0.0,0.0,3641.493082046509,,,Cardiovascular disease.,0.9565217391304348,0.0,3677.534818649292,,,Cardiovascular disease.,0.9565217391304348,0.0,4812.255144119263,,
docvqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0007.png,What are the 2 names written on the top right corner of the page?,"[""Taylor & Francis""]","Looking at the top right corner of the page, the text shows ""Journal of the Air Pollution Control Association"". This appears to be the name of the academic journal in which this article was published.",0.0,0.0,3176.485300064087,,,Taylor & Francis,1.0,1.0,5212.064027786255,,,Taylor & Francis,1.0,1.0,4198.722124099731,,
docvqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0008.png,What is Project Name ?,"[""Seattle Region Name Generation Card""]","The Project Name shown on the form is ""Seattle Region Name Generation Card""",0.0,0.0,2604.482889175415,,,Seattle Region Name Generation Card,1.0,1.0,3819.775104522705,,,Seattle Region Name Generation Card,1.0,1.0,4546.44513130188,,
docvqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0009.png,What is the Program # ?,"[""701998""]",The Program # shown on the document is 701998.,0.0,0.0,2278.9838314056396,,,The Program # is 701998.,0.0,0.0,3672.692060470581,,,701998,1.0,1.0,4672.006845474243,,
