sample_id,image_path,dataset,language,ground_truth,gpt-5-mini_prediction,gpt-5-mini_prompt,gpt-5-mini_inference_time_ms,gpt-5-mini_tokens_used,gpt-5-mini_error,gpt-5-mini_timestamp,gpt-5-nano_prediction,gpt-5-nano_prompt,gpt-5-nano_inference_time_ms,gpt-5-nano_tokens_used,gpt-5-nano_error,gpt-5-nano_timestamp
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,ICDAR_mini,"Latin, Arabic","أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA","ولاية أريانة
مرحبا بكم
BIENVENUE A L'ARIANA
WELCOME TO ARIANA",Extract all text from this document image,9429.228067398071,,,2025-12-23T21:24:31.322254,"- ولاية أريانة
- BIENVENUE A L'ARIANA
- WELCOME TO ARIANA",Extract all text from this document image,6305.370807647705,,,2025-12-23T22:04:44.363159
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,ICDAR_mini,"Symbols, Arabic, Latin","مخبر
LABORATOIRE
Chel
Electrique
###
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-","مخبر
LABORATOIRE

Chel
Chiheb Electrique

Entreprise Chiheb Electrique

Etude & Câblage
des Armoires Electriques

Tel.: 71 425 760 - Fax: 71 428 793",Extract all text from this document image,9416.053056716919,,,2025-12-23T21:24:21.892548,"مختبر
LABORATOIRE
Entreprise Chiheb Electrique
Etude & Câblage
des Armoires Electriques
Tel.: 71 425 760 - Fax: 71 428 793",Extract all text from this document image,11706.560134887695,,,2025-12-23T22:04:38.057449
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,ICDAR_mini,"None, Latin","###
###
La
chére
LL
###
S
###","Here’s a best-effort transcription of all visible text in the image (uncertain/partially-visible items noted):

- La chére
- (small cursive text under “La chére” – hard to read; looks like) vintage pour ...  [uncertain]
- (partial vertical sign at right) LL SH OP  / LL SHOP  [partially visible]

Notes: there is a small sticker/text on the air-conditioning unit that is unreadable in this photo.",Extract all text from this document image,9209.769010543823,,,2025-12-23T22:32:17.786788,- La chèvre,Extract all text from this document image,10241.935729980469,,,2025-12-23T23:21:31.254689
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,ICDAR_mini,"Latin, Arabic","###
للتكوين
لإعلامية
في
و
للغات
21
242
240
###
###","Extracted text (as seen in the image):

- الاعلامية
- للغات
- 21 242 240

Note: the small top-most line is partly obscured and not fully legible; it appears to end with ""للتكوين"" but the preceding word is unclear.",Extract all text from this document image,8905.632019042969,,,2025-12-23T21:24:53.944195,"- 21 242 240

The rest of the Arabic text on the purple sign is not legible due to angle and low contrast, so I cannot reliably transcribe it. If you can provide a higher-resolution or straight-on image, I can extract the full text.",Extract all text from this document image,11307.766199111938,,,2025-12-23T22:05:09.858945
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,ICDAR_mini,"Latin, Arabic","###
###
Liban
Rue
du","شارع لبنان
Rue du Liban",Extract all text from this document image,5734.694719314575,,,2025-12-23T22:19:06.017676,"- Rue du Liban
- شارع لبنان",Extract all text from this document image,6229.988098144531,,,2025-12-23T23:06:58.587939
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,ICDAR_mini,"Symbols, Arabic","أحلى
التسالي
بطاطس
حلزوني
###
###
فشار
كرسبي
ذرة-
أحلى
###
ذرة
كرسبي
-","Detected text (Arabic), as seen in the image:

- أحلى التسالي
- كريسبي - ذرة  (appears beneath/next to ""أحلى التسالي"")
- بطاطس حلزوني

Notes:
- ""أحلى التسالي"" appears on the red signs at right (repeated).
- ""بطاطس حلزوني"" appears on the yellow sign above the blue-covered stall.
- ""كريسبي - ذرة"" is a best-read of the smaller script under/near ""أحلى التسالي"" and is marked as approximate.",Extract all text from this document image,10380.584955215454,,,2025-12-23T22:47:12.609587,"I can try to extract the text, but this image is a bit small and some signs are blurry, so an accurate full transcription is difficult. Here’s what I can say and how we can improve:

What I can tell from the image:
- There are several Arabic signs/stalls in a fairground setting.
- The most legible items are not easily readable due to distance and blur.

If you can provide:
- A higher-resolution version of the image, or
- Cropped close-ups of the signs (especially the yellow sign in the middle and the red/orange banners on the right),

I will run OCR and give you a precise, line-by-line transcription of all visible text.",Extract all text from this document image,13262.768983840942,,,2025-12-23T23:38:39.265833
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,ICDAR_mini,"Symbols, Arabic, Latin","AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله
###","HAMIL AL-MUSK (curved text in logo at top)

حامل المسك

HAMIL AL MUSK

OUD & PERFUMES

(Additional small/partial text on the shutter and window is present but not clearly legible in the image.)",Extract all text from this document image,9437.652111053467,,,2025-12-23T21:23:47.711601,"- Arabic: حامل المسك
- English (main): HAMIL AL MUSK
- Curved logo text: HAMIL AL-MUSK
- Bottom line: OUD & PERFUMES",Extract all text from this document image,10206.278085708618,,,2025-12-23T22:04:05.051706
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,ICDAR_mini,"None, Arabic","حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
###
###
###
###
###
###
###
مصلى
حمامات
###
رجال
حمامات
و
نساء","حمامات ومصلى نسائي
حمامات ومصلى رجال
مصلى و حمامات نساء",Extract all text from this document image,13294.541835784912,,,2025-12-23T22:33:59.149610,,Extract all text from this document image,16898.610830307007,,,2025-12-23T23:23:26.763549
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,ICDAR_mini,"Latin, Arabic","شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St","شارع الوصل
Al Wasl Rd

شارع الشوعي
Al Sho'ee St",Extract all text from this document image,8703.798770904541,,,2025-12-23T21:21:26.684351,,Extract all text from this document image,12429.32677268982,,,2025-12-23T22:01:01.312411
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,ICDAR_mini,Arabic,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة","الرجاء يمنع حمل
السلاح داخل
الصالة

(الجملة كاملة: الرجاء يمنع حمل السلاح داخل الصالة)",Extract all text from this document image,6871.028900146484,,,2025-12-23T21:25:34.292560,"الرجاء بمنع حمل
السلاح داخل
الصالة",Extract all text from this document image,6122.329950332642,,,2025-12-23T22:05:53.835206
