sample_id,image_path,question,ground_truths,prediction_claude_sonnet__claude_sonnet,inference_time_ms_claude_sonnet__claude_sonnet,extracted_text_claude_sonnet__claude_sonnet,error_claude_sonnet__claude_sonnet,prediction_gpt-5-mini__gpt-5-mini,inference_time_ms_gpt-5-mini__gpt-5-mini,extracted_text_gpt-5-mini__gpt-5-mini,error_gpt-5-mini__gpt-5-mini,prediction_gpt-5-nano__gpt-5-nano,inference_time_ms_gpt-5-nano__gpt-5-nano,extracted_text_gpt-5-nano__gpt-5-nano,error_gpt-5-nano__gpt-5-nano
chartqapro_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0000.png,['what was the absolute difference in the cutoff percentage for the obc category between 2014 and 2016?'],"[""['13.4']""]",,3856.257677078247,,Error when retrieving token from sso: Token has expired and refresh failed,13.39 percentage points (31.39% − 18% = 13.39%).,3433.605909347534,,,"13.39 percentage points.  
(31.39% in 2014 vs. 18% in 2016)",4063.3018016815186,,
chartqapro_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0001.png,"['what is the percentage of comments in terms of the following categories: likes, dislikes, comments, and shares?']","[""['9.09%']""]",,3728.725910186768,,Error when retrieving token from sso: Token has expired and refresh failed,"Comments are 39 out of a total 429 (likes 271 + dislikes 6 + comments 39 + shares 113), which is about 9.1% of the four-category total.",6213.086128234863,,,"From the dashboard data:
- Total engagements = 271 + 6 + 39 + 113 = 429
- Likes: 271 (≈ 63.2%)
- Dislikes: 6 (≈ 1.4%)
- Comments: 39 (≈ 9.1%)
- Shares: 113 (≈ 26.3%)

So, comments represent about 9.1% of total engagements.",8360.563039779663,,
chartqapro_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0002.png,"['what is the difference between the number of endorsements for ""dashboard"" and the average number of endorsements for the other four skills?']","[""['27']""]",,3588.0448818206787,,Error when retrieving token from sso: Token has expired and refresh failed,"Dashboard has 91. The other four sum to 68 + 66 + 66 + 56 = 256, average = 256 / 4 = 64. Difference = 91 - 64 = 27 endorsements.",5843.5070514678955,,,"27

Calculation: Average of the other four skills = (68 + 66 + 66 + 56) / 4 = 256 / 4 = 64. Difference = 91 − 64 = 27.",6205.9431076049805,,
chartqapro_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0003.png,['what is the approximate financial impact of the gross energy price rise on the poorest income decile in 2022-23?'],"[""['-750']""]",,3587.8427028656006,,Error when retrieving token from sso: Token has expired and refresh failed,"About a £900 hit — roughly an £800–£1,000 loss for the poorest decile from the gross energy price rise in 2022–23.",4734.296798706055,,,"About £1,000 (negative impact) for the poorest decile from the gross energy price rise in 2022-23.",13501.365900039673,,
chartqapro_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0004.png,['how much higher is the approval of gender equality in western societies compared to muslim societies?'],"[""['27%']""]",,3577.27313041687,,Error when retrieving token from sso: Token has expired and refresh failed,Western approval is 27 percentage points higher — 82% in Western societies vs. 55% in Muslim societies.,5542.180061340332,,,"About 25 percentage points higher. Western societies show ~60% approval, Muslims ~35%, so Western is 60% − 35% = 25% higher.",7889.009952545166,,
chartqapro_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0005.png,"[""by how many feet does the willis tower's antenna fall short of reaching the one world trade center's mast height?""]","[""['47']""]",,3567.9030418395996,,Error when retrieving token from sso: Token has expired and refresh failed,"47 feet. (1,776 ft − 1,729 ft = 47 ft)",5103.8689613342285,,,"47 feet.  
One World Trade Center mast height: 1,776 ft; Willis Tower antenna height: 1,729 ft; difference = 1,776 − 1,729 = 47 ft.",11765.471935272217,,
chartqapro_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0006.png,['what is the approximate difference between the delay at 3pm and average response time of the network performance rounded to 5?'],"[""['125']""]",,3584.306001663208,,Error when retrieving token from sso: Token has expired and refresh failed,"The average server response time is 124.81 ms. The delay at 3:00 PM is about 200 ms on the chart, so the difference ≈ 200 − 124.81 = 75.19 ms, which rounded to the nearest 5 is 75 ms.",8787.032127380371,,,"Approximately 55 ms.

(Reason: Delay at 3pm ≈ 180 ms; Average response time ≈ 124.81 ms; Difference ≈ 55.19 ms → rounded to the nearest 5 → 55 ms.)",11476.415872573853,,
chartqapro_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0007.png,['what is the difference in the wage increase gap between workers who switch jobs and those who stay as of july 2021?'],"[""['1.9']""]",,3608.915328979492,,Error when retrieving token from sso: Token has expired and refresh failed,About 1.9 percentage points (5.4% for switchers vs. 3.5% for stayers in July 2021).,3865.699052810669,,,About 1.9 percentage points (5.4% for switchers vs 3.5% for stayers in July 2021).,5792.775869369507,,
chartqapro_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0008.png,['what is the percentage difference between the average fte salary of the engineering industry and the hospitality & tourism industry?'],"[""['89.99']""]",,3571.8538761138916,,Error when retrieving token from sso: Token has expired and refresh failed,"Engineering: $118,496; Hospitality & Tourism: $62,371.
Difference = $118,496 − $62,371 = $56,125.
Percentage difference (relative to Hospitality) = $56,125 / $62,371 ≈ 0.8995 ≈ 90.0%.

So engineering’s average FTE salary is about 90% higher than hospitality & tourism’s.",7791.439056396484,,,"- Engineering average FTE salary: $118,496
- Hospitality & Tourism average FTE salary: $62,371
- Difference: $118,496 − $62,371 = $56,125

Percent differences:
- Relative to Hospitality & Tourism: 56,125 / 62,371 ≈ 0.90 (about 90% higher)
- Relative to Engineering: 56,125 / 118,496 ≈ 0.47 (about 47% lower)",16027.878046035768,,
chartqapro_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0009.png,['how many times the retail sales growth went below the average annual percentage change from 2002 to 2010 by more than 2%'],"[""['3']""]",,3741.978883743286,,Error when retrieving token from sso: Token has expired and refresh failed,Two times — the series falls more than 2% below the 6.1% average (i.e. below 4.1%) once around 2005 and again during the 2008–09 downturn.,8225.320100784302,,,5 times.,14036.777973175049,,
