sample_id,doc_id,question,page_index,detected_language,prediction,ground_truths,phase,parsing_model,qa_model,anls_score,exact_match,substring_match,embedding_similarity,inference_time_ms,error,timestamp
0349_0,0349,The market value range of the real estate fund in St. Sulpice is over 50 million CHF.,15,English,[SKIPPED: image not available],"[""The market value range of the real estate fund in St. Sulpice is over 50 million CHF.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,65.51504135131836,,2026-01-26T18:04:50.006041
0056_0,0056,"The initial stage is Standing, and the distance between P1 and P2 is 5 metres.",28,English,[SKIPPED: image not available],"[""The initial stage is Standing, and the distance between P1 and P2 is 5 metres.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,72.09897041320801,,2026-01-26T18:04:50.078786
0019_0,0019,"The revenue increased to US$31,000,000 in 2017, and the slogan displayed on the image is ""Thinking what you want, Doing what you need.""",3,English,[SKIPPED: image not available],"[""The revenue increased to US$31,000,000 in 2017, and the slogan displayed on the image is \""Thinking what you want, Doing what you need.\""""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,123.01898002624512,,2026-01-26T18:04:50.202861
0019_1,0019,What activity related to strong technical force and design capacity is being depicted in the image?,23,English,[SKIPPED: image not available],"[""The image depicts people collaboratively working on technical design plans.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,347.57089614868164,,2026-01-26T18:04:50.551554
0386_0,0386,The PPM per year increases significantly.,25,English,[SKIPPED: image not available],"[""The PPM per year increases significantly.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,380.22708892822266,,2026-01-26T18:04:50.934194
0386_1,0386,"At what sampling interval is the 90th percentile PPM of CH4 gas levels approximately 200?
",32,English,[SKIPPED: image not available],"[""Half Year.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,2906.399965286255,,2026-01-26T18:04:53.855792
0386_2,0386,Over which time period does the box plot indicate the smallest range in the absolute change of CH4 (methane) levels?,29,English,[SKIPPED: image not available],"[""The smallest range in the absolute change of CH4 levels is indicated over the \""Week\"" period.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,702.692985534668,,2026-01-26T18:04:54.841864
0163_0,0163,"Select the map, choose File | Export, specify a DXF file name, and enable the Selected objects only option.",0,English,[SKIPPED: image not available],"[""Select the map, choose File | Export, specify a DXF file name, and enable the Selected objects only option.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,251.91402435302734,,2026-01-26T18:04:55.095838
0163_1,0163,"Before clicking ""OK"" in the AutoCAD DXF Export dialog box, what should the Scaling source be set to, and what box should be checked?",2,English,[SKIPPED: image not available],"[""The Scaling source should be set to \""Saved,\"" and the \""Save scaling info\"" box should be checked.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,281.7399501800537,,2026-01-26T18:04:55.381409
0163_2,0163,"When exporting drawn objects to a DXF file, which scaling source should be selected, and what format should the file be saved in according to the image and text?
",3,English,[SKIPPED: image not available],"[""The scaling source should be set to \""Saved\"" and the format should be saved as \""ASCII.\""""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,103.67989540100098,,2026-01-26T18:04:55.486457
0130_0,0130,Part 5 in the image is used to secure the item to the car's rear.,1,English,[SKIPPED: image not available],"[""Part 5 in the image is used to secure the item to the car's rear.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,82.0150375366211,,2026-01-26T18:04:55.571090
0123_0,0123,"There are four mounting holes, each with a diameter of 0.31 inches.",43,English,[SKIPPED: image not available],"[""There are four mounting holes, each with a diameter of 0.31 inches.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,66.90502166748047,,2026-01-26T18:04:55.638482
0123_1,0123,Which company is responsible for the engineering and design of the system depicted in the mechanical layout?,10,English,[SKIPPED: image not available],"[""Larry Hess & Associates.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,93.86491775512695,,2026-01-26T18:04:55.733153
0123_2,0123,"What are the item numbers for the large right glove and the large left glove according to the drawing from Larry Hess & Associates, Inc.?",13,English,[SKIPPED: image not available],"[""The item number for the large right glove is 01, and for the large left glove, it is 02.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,126.28793716430664,,2026-01-26T18:04:55.860462
0066_0,0066,The Dining Room is directly connected to the patio.,1,English,[SKIPPED: image not available],"[""The Dining Room is directly connected to the patio.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,481.45008087158203,,2026-01-26T18:04:56.343112
0470_0,0470,The part number for the nozzle adapter is HWP 12362.,13,English,[SKIPPED: image not available],"[""The part number for the nozzle adapter is HWP 12362.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,219.17009353637695,,2026-01-26T18:04:56.574192
0470_1,0470,"What is the purpose of the component marked ""C1"" in the blower motor schematic, and what is its capacitance value?
",16,English,[SKIPPED: image not available],"[""The component marked \""C1\"" is a capacitor with a capacitance of 60 \u03bcF.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,64.31698799133301,,2026-01-26T18:04:56.639221
0055_0,0055,"The components required are bolts, washers, and nuts.",8,English,[SKIPPED: image not available],"[""The components required are bolts, washers, and nuts.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,65.79303741455078,,2026-01-26T18:04:56.705576
0055_1,0055,"According to the instructions and template, what is the distance between the two outermost mounting holes?",5,English,[SKIPPED: image not available],"[""The distance between the two outermost mounting holes is 12.60 inches.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,137.9251480102539,,2026-01-26T18:04:56.846640
0359_0,0359,The iPhone 7 Plus.,3,English,[SKIPPED: image not available],"[""The iPhone 7 Plus.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,101.85813903808594,,2026-01-26T18:04:56.950177
0451_0,0451,How many people liked the New Milford High School graduation photo gallery post from Thursday?,23,English,[SKIPPED: image not available],"[""2 people liked the post.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,79.42700386047363,,2026-01-26T18:04:57.032687
0451_1,0451,"According to the Venn diagram, what is crucial for effective professional development?",34,English,[SKIPPED: image not available],"[""Effective professional development addresses both organizational needs (A) and individual needs (B).""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,61.25593185424805,,2026-01-26T18:04:57.094487
0451_2,0451,"Which museum is mentioned in the opportunities alongside companies like Google and Adobe, and what is its tagline?",51,English,[SKIPPED: image not available],"[""The Newark Museum is mentioned, and its tagline is \""always new.\""""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,3598.6146926879883,,2026-01-26T18:05:00.693720
0317_0,0317,"Según la información proporcionada, ¿cuál es la dirección IP del dispositivo vecino y cuánto tiempo de espera le queda a la entrada CDP del routerB?",13,English,[SKIPPED: image not available],"[""La direcci\u00f3n IP del dispositivo vecino es 198.92.68.18 y le quedan 155 segundos de tiempo de espera a la entrada CDP del routerB.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,392.2131061553955,,2026-01-26T18:05:01.123109
0317_1,0317,"The starting price for a mid-range router like the Cisco 2501 is $1,000 and it has ports DB-15, DB-60 (Serial 0 and Serial 1), and RJ-45.",3,English,[SKIPPED: image not available],"[""The starting price for a mid-range router like the Cisco 2501 is $1,000 and it has ports DB-15, DB-60 (Serial 0 and Serial 1), and RJ-45.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,66.13492965698242,,2026-01-26T18:05:01.190775
0317_2,0317,What command should you use to connect from Denver to Paris using its IP address?,14,English,[SKIPPED: image not available],"[""The command is \""Denver>131.108.100.152\"".""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,149.8270034790039,,2026-01-26T18:05:01.342638
0052_0,0052,"The maximum number of points for the character code that represents ""Jour"" is 16.",70,English,[SKIPPED: image not available],"[""The maximum number of points for the character code that represents \""Jour\"" is 16.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,76.21288299560547,,2026-01-26T18:05:01.419943
0052_1,0052,"According to the table, what is the maximum number of points associated with the character 'C' and its corresponding code?
",72,English,[SKIPPED: image not available],"[""The character 'C' has a code of 96 and is associated with a maximum of 6 points.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,78.40991020202637,,2026-01-26T18:05:01.499041
0329_0,0329,"The Cat hydraulic angle blade is set at 25 degrees, and its durability is enhanced by a hardened steel wear edge.",6,English,[SKIPPED: image not available],"[""The Cat hydraulic angle blade is set at 25 degrees, and its durability is enhanced by a hardened steel wear edge.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,68.21894645690918,,2026-01-26T18:05:01.568632
0329_1,0329,"Which optional feature can enhance operator comfort in the cab, as shown in the image and described in the text?",3,English,[SKIPPED: image not available],"[""Optional air conditioning.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,117.20705032348633,,2026-01-26T18:05:01.686425
0329_2,0329,What makes the Cat 303.5C CR particularly suitable for high-altitude work?,4,English,[SKIPPED: image not available],"[""The Cat 303.5C CR's suitability for high-altitude work comes from its turbocharged three-cylinder diesel engine coupled with a variable displacement pump.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,191.2550926208496,,2026-01-26T18:05:01.880950
0228_0,0228,You should head southeast.,26,English,[SKIPPED: image not available],"[""You should head southeast.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,160.689115524292,,2026-01-26T18:05:02.044394
0020_0,0020,"The initial voltage (V) for channel 2 is 10V, and the duration (I) is 200 milliseconds.",7,English,[SKIPPED: image not available],"[""The initial voltage (V) for channel 2 is 10V, and the duration (I) is 200 milliseconds.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,94.16413307189941,,2026-01-26T18:05:02.139654
0472_0,0472,"What steps must be taken to switch between two parties during a conversation on an SLT phone, according to the instructions?",51,English,[SKIPPED: image not available],"[""Press Recall/hookswitch and enter *50 to talk to the original party. For the new party, hang up, off-hook the phone again, and enter *50.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,141.07370376586914,,2026-01-26T18:05:02.281456
0472_1,0472,What steps are required to set a Timed Reminder to go off daily at 8:30 AM on a Panasonic proprietary telephone?,138,English,[SKIPPED: image not available],"[""Off-hook, enter *76*, then 1. Dial the extension number, enter 08:30, then 0 for AM, and finally 1 for daily.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,122.6968765258789,,2026-01-26T18:05:02.405573
0472_2,0472,"What steps must a supervisor take to enter incoming call queue monitoring mode for an ICD group on a 6-Line Display PT?
",90,English,[SKIPPED: image not available],"[""The supervisor should go off-hook, enter *739, input the ICD Group extension number, wait for the confirmation tone, then go on-hook.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,135.00380516052246,,2026-01-26T18:05:02.550265
0438_0,0438,The estimated cost savings over 3 years would be £162.,4,English,[SKIPPED: image not available],"[""The estimated cost savings over 3 years would be \u00a3162.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,701.7838954925537,,2026-01-26T18:05:03.254632
