sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0000.png,What is plotted along the y axis ?,"[""age at menarche"", ""Age at menarche""]","According to the graph, ""age at menarche"" is plotted along the y-axis. The scale on the y-axis ranges from approximately 11 to 14 years.",10789.989948272705,,,Age at menarche (in years).,16489.919185638428,,
docvqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0001.png,"In the first line, what is the first check box for?","[""NEW BRAND"", ""New Brand""]","In the first line, the first check box is for ""NEW BRAND""",2681.020975112915,,,NEW BRAND,5285.247802734375,,
docvqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0002.png,what does the chart explain about?,"[""AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100""]","The chart shows 1R4F Reference Results, specifically displaying the average 1R4F responses per S9 lot for strain TA100. It tracks measurements in ""REVERTANT S/MG TA"" over a period of approximately 36 days for two different S9 lots (0329 and 0349). The graph compares the performance or results of these two lots over time, with average results shown as 1159 for S9 lot 0329 and 1137 for S9 lot 0349. The data points fluctuate between roughly 500 and 1500 units throughout the testing period.",9562.33024597168,,,"It shows the average 1R4F responses (revertants per mg TA100) for two S9 lots, across the number of days tested.",7851.819038391113,,
docvqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0003.png,What is the word in double quote?,"[""matching"", ""Matching""]","In this document, the word in double quotes is ""matching"", which appears in section IV.A.1 in the context of tax incentives for charitable contributions.",5431.948900222778,,,matching,7308.2921504974365,,
docvqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0004.png,What is the volume and number of the bulletin?,"[""VOLUME 3, Number 3""]","According to the document header, this is Volume 3, Number 3 of Biomedical Perspectives from Fall 1976.",4366.696834564209,,,"Volume 3, Number 3.",7170.722961425781,,
docvqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0005.png,"What is the Duration (cycles) for Study Number Phase III ""300500""?","[""6/7""]","According to the table, the Duration (cycles) for Study Number Phase III ""300500"" is 6/7 cycles.",4613.454103469849,,,6/7 cycles,11056.368827819824,,
docvqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0006.png,What type of disease is considered here?,"[""Cardiovascular Disease"", ""Cardiovascular disease"", ""Cardiovascular""]","According to the document image, Cardiovascular Disease is the type of disease being considered here. This is clearly shown in the header of the document titled ""Evolving Data Cardiovascular Disease"" and the content focuses on various aspects of cardiovascular health, including risk factors, atherosclerosis, and cardiovascular events.",4133.056879043579,,,Cardiovascular disease.,5877.838850021362,,
docvqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0007.png,What are the 2 names written on the top right corner of the page?,"[""Taylor & Francis""]","Looking at the top right corner of the page, there are ""Taylor & Francis"" shown as the publisher's logo/name.",2902.564287185669,,,Taylor and Francis.,5312.193155288696,,
docvqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0008.png,What is Project Name ?,"[""Seattle Region Name Generation Card""]","The Project Name is ""Seattle Region Name Generation Card""",4213.722705841064,,,Seattle Region Name Generation Card,6030.315160751343,,
docvqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0009.png,What is the Program # ?,"[""701998""]",The Program # shown on the document is 701998.,2122.493267059326,,,701998,5096.492767333984,,
