sample_id,image_path,dataset,language,ground_truth,donut_prediction,donut_prompt,donut_inference_time_ms,donut_tokens_used,donut_error,donut_timestamp,azure_intelligence_prediction,azure_intelligence_prompt,azure_intelligence_inference_time_ms,azure_intelligence_tokens_used,azure_intelligence_error,azure_intelligence_timestamp,mistral_document_ai_prediction,mistral_document_ai_prompt,mistral_document_ai_inference_time_ms,mistral_document_ai_tokens_used,mistral_document_ai_error,mistral_document_ai_timestamp
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,ICDAR_mini,"Latin, Arabic","أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",<s_menu><s_nm> ITEMINIKA,,488.0561828613281,,,2025-12-24T13:37:31.051919,"ولاية أريانة
ترحب بكم
BIENVENUE A L'ARIANA
WELCOME TO ARIANA",,2470.510721206665,,,2025-12-23T22:06:44.582207,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",,921.8432903289795,,,2025-12-24T17:06:49.701937
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,ICDAR_mini,"Symbols, Arabic, Latin","مخبر
LABORATOIRE
Chel
Electrique
###
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",<s_menu><s_nm> LABORATOIRE</s_nm><s_price> Chel</s_nm><s_price> Chel</s_price><s_sub><s_nm> Chiheb Electrius</s_nm><sep/><s_nm> Entreprise Chiheb Electrique</s_nm></s_sub></s_menu><s_sub_total><s_subtotal_price> Etude & Cablage</s_nm><sep/><s_nm> des Armoires Electriques</s_nm></s_sub></s_menu><s_total><s_total_price> 425 760 - Fax: 71 428 793</s_total_price></s_total>,,1022.8290557861328,,,2025-12-24T13:37:30.563120,"مخبر
LABORATOIRE
Chel
Chiheb Electrique
Entreprise Chiheb Electrique
Etude & Câblage
des Armoires Electriques
Tel .: 71 425 760 - Fax: 71 428 793",,2531.7931175231934,,,2025-12-23T22:06:42.111498,"# LABORATOIRE

![img-0.jpeg](img-0.jpeg)

Entreprise Chiheb Electrique

Etude &amp; Câblage des Armoires Electriques

Tel.: 71 425 760 - Fax: 71 428 793

![img-1.jpeg](img-1.jpeg)",,1842.5469398498535,,,2025-12-24T17:06:48.780014
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,ICDAR_mini,"None, Latin","###
###
La
chére
LL
###
S
###",<s_menu><s_nm>,,443.36414337158203,,,2025-12-24T15:54:22.275267,"La chére
F",,2466.8118953704834,,,2025-12-23T22:26:03.458761,"En chère
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
V",,1945.0139999389648,,,2025-12-24T17:20:26.666994
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,ICDAR_mini,"Latin, Arabic","###
للتكوين
لإعلامية
في
و
للغات
21
242
240
###
###",<s_menu><s_nm>,,443.5608386993408,,,2025-12-24T13:37:31.935377,"ـايسيل للتكوين
علامية
21 242 240",,2501.826047897339,,,2025-12-23T22:06:49.688379,"ID-100000
21 242 240",,979.0799617767334,,,2025-12-24T17:06:52.443738
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,ICDAR_mini,"Latin, Arabic","###
###
Liban
Rue
du",<s_menu><s_nm>,,439.51892852783203,,,2025-12-24T15:52:55.770027,"وَاعْ لَنَانُ
Rue du Liban",,2468.7533378601074,,,2025-12-23T22:22:40.333051,# Rué du Liban,,813.3988380432129,,,2025-12-24T17:17:30.772067
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,ICDAR_mini,"Symbols, Arabic","أحلى
التسالي
بطاطس
حلزوني
###
###
فشار
كرسبي
ذرة-
أحلى
###
ذرة
كرسبي
-",<s_menu><s_nm>,,481.45508766174316,,,2025-12-24T15:55:32.830448,"أحلى التسالي
كرسبي - ذرة
بطاطس حلزوني
فشار HEبـ
مروني
S
أحلى التسـ
كرسبي - ذرة",,2642.728090286255,,,2025-12-23T22:30:05.458305,"![img-0.jpeg](img-0.jpeg)

# 2021

## 1500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",,2827.552080154419,,,2025-12-24T17:23:11.964601
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,ICDAR_mini,"Symbols, Arabic, Latin","AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله
###",<s_menu><s_nm> HAMIL AL MUSK</s_nm><s_num> PERFUMES</s_total>,,505.5563449859619,,,2025-12-24T13:37:28.487746,"elwall Jala
HAMIL
AL - MUSK
HAMIL AL MUSK
OUD & PERFUMES
ـيات
co",,2547.250986099243,,,2025-12-23T22:06:34.602671,"^{}[] HAMIL AL-MUSK

# Helmah al-Musk
## HAMIL AL MUSK
### OUD &amp; PERFUMES

^{}[] Helmah al-Musk
^{}[] 30 April 2014",,1572.8211402893066,,,2025-12-24T17:06:44.441149
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,ICDAR_mini,"None, Arabic","حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
###
###
###
###
###
###
###
مصلى
حمامات
###
رجال
حمامات
و
نساء",<s_menu><s_nm>,,501.5218257904053,,,2025-12-24T15:54:26.717160,"حمامات ومصلى نسائي
8
مصلى
وحمامات
نساء
كمامات ومصلى رخاص
110
تشرد",,3854.045867919922,,,2025-12-23T22:26:30.231515,"![img-0.jpeg](img-0.jpeg)

**Paseo de la Residencia**

**18**

**Paseo de la Inscripción**

**19**

**Paseo de la Inscripción**

**20**

**Paseo de la Inscripción**

**21**

**Paseo de la Inscripción**

**22**

**Paseo de la Inscripción**

**23**

**Paseo de la Inscripción**

**24**

**Paseo de la Inscripción**

**25**

**Paseo de la Inscripción**

**26**

**Paseo de la Inscripción**

**27**

**Paseo de la Inscripción**

**28**

**Paseo de la Inscripción**

**29**

**Paseo de la Inscripción**

**30**

**Paseo de la Inscripción**

**31**

**Paseo de la Inscripción**

**32**

**Paseo de la Inscripción**

**33**

**Paseo de la Inscripción**

**34**

**Paseo de la Inscripción**

**35**

**Paseo de la Inscripción**

**36**

**Paseo de la Inscripción**

**37**

**Paseo de la Inscripción**

**38**

**Paseo de la Inscripción**

**39**

**Paseo de la Inscripción**

**40**

**Paseo de la Inscripción**

**41**

**Paseo de la Inscripción**

**42**

**Paseo de la Inscripción**

**43**

**Paseo de la Inscripción**

**44**

**Paseo de la Inscripción**

**45**

**Paseo de la Inscripción**

**46**

**Paseo de la Inscripción**

**47**

**Paseo de la Inscripción**

**48**

**Paseo de la Inscripción**",,3658.03599357605,,,2025-12-24T17:20:48.431773
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,ICDAR_mini,"Latin, Arabic","شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St","<s_menu><s_nm> Hogli E,La</s_nm><s_num> Al</s_cnt><s_price> Rd</s_price><sep/><s_nm> Sho'ee St</s_total>",,591.9580459594727,,,2025-12-24T13:37:14.154587,"شارع الوصل
Al Wasl Rd
شارع الشوعي
Al Sho'ee St",,2470.402956008911,,,2025-12-23T22:05:56.975924,"![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)",,922.3339557647705,,,2025-12-24T17:06:22.338151
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,ICDAR_mini,Arabic,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",<s_menu><s_nm>,,468.11795234680176,,,2025-12-24T13:37:40.938891,"الرجاء يمنع حمل
السلاح داخل
الصالة",,2465.4440879821777,,,2025-12-23T22:06:59.765360,الرجاء يمنع حمل السلاح داخل الصالة,,796.8969345092773,,,2025-12-24T17:06:58.006182
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,ICDAR_mini,"Latin, Symbols, Arabic","###
ابن
بضائع
نقل
29
267
103
###
/
###",<s_menu><s_nm> 29 267 103</s_nm></s_total>,,486.50598526000977,,,2025-12-24T15:55:18.868349,"أبن ـ
نقل بضائع
29 267 103
20 396 230 / 28 326 207",,2922.8780269622803,,,2025-12-23T22:28:52.788543,"![img-0.jpeg](img-0.jpeg)

نقل بضائع
29 267 103
20 396 206 / 20 396 207",,2263.1969451904297,,,2025-12-24T17:22:28.570424
