sample_id,image_path,printed_image_path,dataset,ground_truth,gpt-5-mini_prediction,gpt-5-mini_prompt,gpt-5-mini_ground_truth_inference_time_ms,gpt-5-mini_prediction_inference_time_ms,gpt-5-mini_tokens_used,gpt-5-mini_ground_truth_error,gpt-5-mini_prediction_error,gpt-5-mini_timestamp,gpt-5-nano_prediction,gpt-5-nano_prompt,gpt-5-nano_ground_truth_inference_time_ms,gpt-5-nano_prediction_inference_time_ms,gpt-5-nano_tokens_used,gpt-5-nano_ground_truth_error,gpt-5-nano_prediction_error,gpt-5-nano_timestamp
iam_000_a01-000u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/printed.png,IAM_mini,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.","A MOVE to stop Mr. Gaitskell from
nominating any more Labour life Peers
is to be made at a meeting of Labour
MPs tomorrow. Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths, MP for Manchester Exchange.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7059.806823730469,11366.083860397339,,,,2025-12-31T02:32:59.920974,"A MOVE to stop Mr. Gaitskell from
nominating any more Labour life Peers
is to be made at a meeting of Labour
MPs tomorrow. Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths, MP for Manchester Exchange.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",10752.609968185425,13731.913089752197,,,,2025-12-31T12:10:54.985739
iam_000_a01-003u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/printed.png,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.","Though they may gather some Left - wing
support, a large majority of Labour
MPs are likely to turn down the Foot -
Griffiths resolution. Mr. Foot's line will
be that as Labour MPs opposed the
Government Bill which brought life peers
into existence, they should not now put
forward nominees. He believes that the
House of Lords should be abolished and
that Labour should not take any steps
which would appear to ""prop up"" an out.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7118.958234786987,12344.37608718872,,,,2025-12-31T00:35:02.803894,"Though they may gather some left-wing support,
a large majority of Labour MPs are likely to turn down the Foot-
Griffins resolution. Mr. Foot's line will
be that as Labour MPs opposed the
Government Bill which brought life into existence, they should not now put
forward nominated. He believes that the
House of Lords should be abolished and
that Labour should not take any steps
which would appear to ""prop up"" an aut.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",12392.979145050049,27354.37512397766,,,,2025-12-31T08:11:32.056335
iam_000_a01-011u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/printed.png,IAM_mini,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.","Delegates from Mr. Kenneth Kaunda's
United National Independence Party
(280,000 members) and Mr. Harry Nkumbula's
African National Congress (400,000) will
meet in London today to discuss a common
course of action. Sir Roy is violently
opposed to Africans getting an elected
majority in Northern Rhodesia, but the
Colonial Secretary, Mr. Iain Macleod,
is insisting on a policy of change.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",8450.183868408203,13729.83193397522,,,,2025-12-31T02:21:59.344547,"Delegates from Mr. Kenneth Kaunda's
United National Independence Party
(280,000 members) and Mr. Harry Nkumbula's
African National Congress (400,000) will
meet in London today to discuss a common
cause of action. Sir Roy is violently
opposed to Africans getting and elected
majority in Northern Rhodesia, but the
Colonial Secretary, Mr. Iain Macleod,
is insisting on a policy of change.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",9019.615888595581,20068.219900131226,,,,2025-12-31T11:57:26.731328
iam_000_a01-014u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/printed.png,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party is
boycotting the London talks on the
Protectorate's future. Said Mr. Nkhumbula
last night: ""We want to discuss what to
do if the British demonstrations.""

Yesterday Sir Roy's chief aide, Mr.
Julian Greenfield, telephoned his chief
a report on his talk with Mr. Macmillan
at Chequers.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",6046.660900115967,32983.31689834595,,,,2025-12-31T01:17:28.081737,,"Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",8722.431898117065,25036.337852478027,,,,2025-12-31T09:12:49.803960
iam_000_a01-026u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/printed.png,IAM_mini,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.","Mr. IAIN MACLEOD, the Colonial Secretary,
denied in the Commons last night that
there have been secret negotiations on
Northern Rhodesia's future. The Northern
Rhodesia conference in London has been
boycotted by the two main settlers' parties-
the United Federal Party and the Dominion
Party. But representatives of Sir Roy
Welensky, Prime Minister of the Central
African Federation, went to Chequers at
the week-end for talks with Mr. Macmillan.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7120.020151138306,21861.80090904236,,,,2025-12-31T00:28:38.544814,"Mr. IAN MACLEOD, the Colonial Secretary,
arrived in the Commons last night that
there have been secret negotiations on
Northern Rhodesia's future.
The Northern Rhodesia conference in London has been
boycotted by the two main ethnic factions-
the United Federal Party and the Dominion
Party.
But representatives of Sir Roy
Welensky, Prime Minister of the Central
African Federation, went to Chequers at
the week-end for talks with Mr. Macmillan.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",8601.458072662354,23659.34109687805,,,,2025-12-31T08:02:13.446185
iam_000_a01-030u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/printed.png,IAM_mini,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations."" He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government. Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.","Northern Rhodesia is a member of the Federation.

Mr. Macleod was not at the week-end
meeting. But he told MPs yesterday: ""I
have no knowledge of secret negotiations.""
He said Britain had an obligation to consult
the Federal Government. But the final
decision remained with the British Government.
Mr. James Callaghan, Labour's Colonial
spokesman, said Sir Roy had no right to
delay progress in the talks by refusing
to sit round the conference table.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7784.422159194946,11566.735029220581,,,,2025-12-31T01:50:47.648006,"Northern Rhodesia is a member of the Federation.
Mr. Macleod was not at the week-end meeting. But he told MP's yesterday: ""I have no knowledge of secret negotiations.""
He said Britain had an obligation to consult the Federal Government.
But the final decision remained with the British Government.
Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",12631.731033325195,18534.25693511963,,,,2025-12-31T10:02:47.701454
iam_000_a01-063u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/printed.png,IAM_mini,"But he said discussions ""on a higher level than in the past"" might be useful. The President will probably discuss the problem with Dr. Brentano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210million debt to America. United States officials quickly point out that this is money due to America anyway.","But he said discussions ""on a higher
level than in the past"" might be useful.
The President will probably discuss the
problem with Dr. Brandt, the West German
Foreign Minister, who is due in Washington
next week. A big slice of Germany's ""aid""
is the early payment of a 210 million
debt to America. United States officials
quickly point out that this is money due
to America anyway.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",6453.809976577759,13065.752029418945,,,,2025-12-30T23:43:34.393889,,"Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7761.565208435059,25186.15484237671,,,,2025-12-31T07:00:09.637482
iam_000_a01-068u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/printed.png,IAM_mini,And they are unimpressed by the Germans' claim that they cannot pay more than 357million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,"And they are unimpressed by the Germans' claim
that they cannot pay more than 357 million
without upsetting their own economy. The
Americans say Germany is having it too
good and is not paying for the past
or for the present. The Adenauer Government
flatly rejected attempts by the Eisenhower
Government to get them to pay a regular
sum towards the cost of keeping American
troops in Germany.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",7786.29994392395,10868.278980255127,,,,2025-12-31T00:53:30.695126,"for they are impoverished by the Germans' claim
that they cannot pay more than 357 million
without upsetting their own economy. The
merchants say Germany is having it too
good and is not paying for the past
or for the present. The American Government
flatly rejected attempts by the Eisenhower
Government to get them to pay a regular
sum towards the cost of keeping American
troops in Germany.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",9369.750022888184,23419.655084609985,,,,2025-12-31T08:37:28.760188
iam_000_a01-077u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/printed.png,IAM_mini,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on February 20.","Now, since this is election year in West
Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power.
He said he was waiting for his senior
military aides to come up with the answers
on February 20.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",6601.222991943359,11612.653970718384,,,,2025-12-31T01:42:31.216636,"Well, since this is election year in West
Germany! Dr. Adenauer is in a tough spot.
Joyce Esquith cables: President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power.
He said he was waiting for his senior
military aides to come up with the answers
on February 20.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",6581.6309452056885,15807.590007781982,,,,2025-12-31T09:49:34.831200
iam_000_a01-091u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/printed.png,IAM_mini,"The result of the vote was not in doubt. For the Tories were massed in answer to their whips to defeat a censure motion on the Government for ""undermining the Health Service"" and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy under censure was monstrous. It had offended many people far beyond the ranks of Labour supporters.","The result of the vote was not in doubt.

For the Tories were massed in answer to

their whips to defeat a censure motion

on the Government for ""undermining the

health service"" and placing heavy burdens

on those least able to bear them. Mr.

Brown declared that the policy under

censure was monstrous. It had offended

many people far beyond the rank of

Labour supporters.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",5507.241010665894,12091.63498878479,,,,2025-12-31T01:35:42.334958,"The result of the vote was not in doubt.
For the Tories were marshalled in answer to
their whips to defeat a censure motion
on the Government for undermining the
health service and placing heavy burdens
on those least able to bear them. Mr.
Brown declared that the policy was monstrous.
It had offended many people even beyond the
rank of Labour supporters.","Dataset: IAM_mini
Task: Extract all text from this document image, preserving structure and layout
Return ONLY the extracted text.",6367.67315864563,23409.271001815796,,,,2025-12-31T09:39:00.249922
