sample_id,image_path,ground_truth,language,dataset,prediction_claude_sonnet,inference_time_ms_claude_sonnet,tokens_used_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
iam_000_a01-000u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/handwritten.png,"The text in the image reads:

""A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M.P.s tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M.P. for Manchester Exchange.""",2,IAM_mini,"Here is the text from the image:

""A move to stop Mr. Churchill from nominating any more Labour life peers is to be made at a meeting at Labour MPs tomorrow. Mr. Michael foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, MP for Manchester Exchange.""",4456.761121749878,,,"A MOVE to stop Mr. Gaitskell from
nominating any more Labour life Peers
is to be made at a meeting of Labour
MPs tomorrow. Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths, MP for Manchester Exchange.",6226.409912109375,,,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life peers is to be made at a meeting of Labour MPs tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, MP for Manchester Exchange.",6715.644836425781,,
iam_000_a01-003u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/handwritten.png,"The text reads:

""Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.""",2,IAM_mini,"Here's the text from the image:

""Though they may gather some left-wing support, a large majority of Labour MPs are likely to turn down the foot-filling resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-""

The text appears to be discussing British politics, specifically regarding the Labour Party's stance on the House of Lords and life peerages.",5795.140027999878,,,"Though they may gather some Left-wing support, a large majority of Labour MPs are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour MPs opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-",5810.679912567139,,,,7822.118043899536,,
iam_000_a01-011u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/handwritten.png,"The text reads:

""Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.""",2,IAM_mini,"Here's the text from the image:

""Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting and elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.""",4521.40998840332,,,"Delegates from Mr. Kenneth Kaunda's
United National Independence Party
(280,000 members) and Mr. Harry Nkumbula's
African National Congress (400,000) will
meet in London today to discuss a common
cause of action. Sir Roy is violently
opposed to Africans getting an elected
majority in Northern Rhodesia, but the
Colonial Secretary, Mr. Iain Macleod,
is insisting on a policy of change.",5833.6310386657715,,,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common cause of action. Sir Roy Welensky is violently opposed to Africans giving and electing a majority in Northern Rhodesia, but the Colonial Secretary, Mr. Ian MacLeod, is inviting a policy of change.",6961.816072463989,,
iam_000_a01-014u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/handwritten.png,"The text from the image reads:

""Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future,"" said Mr. Nkumbula last night. ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.",2,IAM_mini,"Here's the text from the image:

""Sir Ray's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: 'We want to discuss what to do if the British demonstrations.'

Yesterday Sir Ray's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talk with Mr. Macmillan at Chequers.""",5096.301078796387,,,"Sir Roy's United Federal Party is
boycotting the London talks on the
Protectorate's future. Said Mr. Nkumbula
last night: ""We want to discuss what to
do if the British demonstrations.""

Yesterday Sir Roy's chief aide, Mr.
Julian Greenfield, telephoned his chief
a report on his talk with Mr. Macmillan
at Chequers.",6041.399002075195,,,,7151.001930236816,,
iam_000_a01-026u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/handwritten.png,"The text from the image reads:

""MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.""",2,IAM_mini,"Here's the text from the image:

""Mr. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations at Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.""",5204.309940338135,,,"Mr. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties — the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.",5764.786243438721,,,"Mr. IAN MACLEOD, the Colonial Secretary, arrived in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties—the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.",15396.533966064453,,
iam_000_a01-030u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/handwritten.png,"The text reads:
""Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret negotiations."" He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government. Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.""",2,IAM_mini,"Here's the text from the image:

Northern Rhodesia is a member of the federation.

Mr. MacLeod was not at the week-end meeting. But he told M.P.s yesterday: ""I have no knowledge of secret negotiations.""

He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government.

Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",5272.665977478027,,,"Northern Rhodesia is a member of the Federation.

Mr. Macleod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations.""

He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government.

Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",7896.760702133179,,,"Northern Rhodesia is a member of the Federation.
Mr. MacLeod was not at the week-end meeting. But he told MPs yesterday: ""I have no knowledge of secret negotiations.""
He said Britain had an obligation to commit the Federal Government. But the final decision remained with the British Government.
Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",10604.053020477295,,
iam_000_a01-063u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/handwritten.png,"Here's the text from the image:

""But he said discussions 'on a higher level than in the past' might be useful. The President will probably discuss the problem with Dr. Brentano, the West German foreign Minister, who is due in Washington next week. A big slice of Germany's 'aid' is the early payment of a $10million debt to America. United States officials quickly point out that this is money due to America anyway.""",2,IAM_mini,"Here's the text from the image:

""But he said discussions on a higher level than in the past might be useful.

The President will probably discuss the problem with Dr. Brenhano, the West German foreign Minister, who is due in Washington next week. A big slice of Germany's 'aid' is the early payment of a 210 million dept to America. United States officials quickly point out that this is money due to America anyway.""",4947.901248931885,,,"But he said discussions ""on a higher level than in the past"" might be useful.

The President will probably discuss the problem with Dr. Brendano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210 million debt to America. United States officials quickly point out that this is money due to America anyway.",5942.431211471558,,,"But he said discussions on a higher level than in the past might be useful.
The President will probably discuss the problem with Dr. Brenner, the West German Foreign Minister, who is due in Washington next week.
A big slice of Germany's 'aid' is the early payment of a 210 million debt to America.
United States officials quickly point out that this is money due to America anyway.",6449.100971221924,,
iam_000_a01-068u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/handwritten.png,"The text in the image reads:

""And they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.""",2,IAM_mini,"Here's the text from the image:

""And they are unimpressed by the Germans' claim that they cannot pay more than 55 + million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.""",5361.39178276062,,,And they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,6246.960878372192,,,and they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The German Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,16205.582857131958,,
iam_000_a01-077u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/handwritten.png,"The text in the image reads:

""And, since this is election year in West Germany, Dr. Adenauer is in a tough spot. Joyce Egginton cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answer on February 20.""",2,IAM_mini,"The text from the image reads:

""And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.

Joyce Egginton cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answer on February 20.""",4799.699306488037,,,"Now, since this is election year in West
Germany, Dr. Adenauer is in a tough spot.

Joyce Egginton cables: President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power.

He said he was waiting for his senior
military aides to come up with the answers
on February 20.",6056.051969528198,,,"Well, since this is election year in West Germany, Dr. Adenauer is in a tough spot. Joyce E. Smith cables: President Kennedy at his Washington Press conference admitted he did not know whether America was lagging behind Russia in missile power. He said he was waiting for his senior military aides to come up with the answers on February 20.",7143.2061195373535,,
iam_000_a01-091u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/handwritten.png,"Here's the text from the image:

""The result of the vote was not in doubt. For the Tories were massed in answer to their whips to defeat a censure motion on the Government for ""undermining the Health Service"" and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy under censure was monstrous. It had offended many people far beyond the ranks of Labour supporters.""",2,IAM_mini,"Here's the text from the image:

The result of the vote was not in danger.
For the Tories were massed in answer to
their whips to defeat a censure motion
on the Government for undermining the
health Service and placing heavy burdens
on those least able to bear them. Mr.
Brown declared that the policy under
censure was monstrous. It had offended
many people far beyond the rank of
Labour supporters.",4666.152000427246,,,"The result of the vote was not in doubt.

For the Tories were massed in answer to their whips to defeat a censure motion on the Government for ""undermining the health service"" and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy under censure was monstrous. It had offended many people far beyond the ranks of Labour supporters.",4912.337064743042,,,"The result of the vote was not in doubt.
For the Tories were marshalled in answer to their whips to defeat a censure which lay on the Government for undermining the health service, and placing heavy burdens on those least able to bear them. Mr. Brown declared that the policy was monstrous. It had offended many people for beyond the rank of Labour supporters.",7812.2148513793945,,
