sample_id,image_path,ground_truth,language,dataset,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,,"Latin, Arabic",ICDAR_mini,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",9729.353904724121,,,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",11262.632131576538,,
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,,"Symbols, Arabic, Latin",ICDAR_mini,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",13785.57801246643,,,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",14336.668252944946,,
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,La chérie,"None, Latin",ICDAR_mini,"La
chére
LL
S",14347.909927368164,,,"La
chére
LL
S",10022.964239120483,,
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,,"Latin, Arabic",ICDAR_mini,"للتكوين
لإعلامية
في
و
للغات
21
242
240",12057.008981704712,,,"للتكوين
لإعلامية
في
و
للغات
21
242
240",13192.385911941528,,
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,"شارع لبنان
Rue du Liban","Latin, Arabic",ICDAR_mini,"Liban
Rue
du",9563.380002975464,,,"Liban
Rue
du",7180.787801742554,,
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,,"Symbols, Arabic",ICDAR_mini,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",13805.001974105835,,,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",15216.836214065552,,
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,"حامل المسك
HAMIL AL-MUSK
HAMIL AL MUSK
OUD & PERFUMES","Symbols, Arabic, Latin",ICDAR_mini,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",11855.00693321228,,,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",12051.995754241943,,
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,,"None, Arabic",ICDAR_mini,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",16624.602794647217,,,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",16379.366159439087,,
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,"شارع الشوعي
Al Sho'ee St
شارع الوصل
Al Wasl Rd","Latin, Arabic",ICDAR_mini,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",7166.824817657471,,,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",9164.576053619385,,
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,"الرجاء
منع حمل
السلاح
داخل
الصالة",Arabic,ICDAR_mini,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",5628.180980682373,,,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",6450.7598876953125,,
