sample_id,image_path,printed_image_path,dataset,ground_truth,azure_intelligence_prediction,azure_intelligence_prompt,azure_intelligence_ground_truth_inference_time_ms,azure_intelligence_prediction_inference_time_ms,azure_intelligence_tokens_used,azure_intelligence_ground_truth_error,azure_intelligence_prediction_error,azure_intelligence_timestamp,mistral_document_ai_prediction,mistral_document_ai_prompt,mistral_document_ai_ground_truth_inference_time_ms,mistral_document_ai_prediction_inference_time_ms,mistral_document_ai_tokens_used,mistral_document_ai_ground_truth_error,mistral_document_ai_prediction_error,mistral_document_ai_timestamp
iam_000_a01-000u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/printed.png,IAM_mini,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to
be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down
a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for
Manchester Exchange.","A MOVE to stop Mr.""
Gaitskell from
nominating any more Labour Life Peers
is to be made at a meeting of Labour
MPs tomorrow . Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths , MP for Manchester Exchange .",,1131.3579082489014,2722.4059104919434,,,,2025-12-30T19:54:52.442696,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers
is to be made at a meeting of Labour MPs tomorrow. Mr. Michael Foot has
put down a resolution on the subject and he is to be backed by Mr. Will Griffiths,
MP for Manchester Exchange.",,1661.9758605957031,2804.16202545166,,,,2025-12-30T20:35:25.155461
iam_000_a01-003u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/printed.png,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour M Ps
are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as
Labour M Ps opposed the Government Bill which brought life peers into existence,
they should not now put forward nominees. He believes that the House of Lords
should be abolished and that Labour should not take any steps which would appear
to ""prop up"" an out-dated institution.","Though they may gather some Left-wing
support , a large majority of
Labour
MPs are likely to turn down the Foot-
Griffiths resolution . Mr. Foot's line will
be that as Labour M Ps opposed the
Government Bill which brought life peers
into existence , they should not now put
forward nominees . He believes that the
House of Lords should be abolished and
that Labour should not take any steps
which would appear to "" prop up ""an out.
·",,2517.547130584717,3569.7827339172363,,,,2025-12-30T19:21:31.409436,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn
down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M
Ps opposed the Government Bill which brought life peers into existence, they should
not now put forward nominees. He believes that the House of Lords should be
abolished and that Labour should not take any steps which would appear to ""prior
up"" an out-",,1965.608835220337,2701.1680603027344,,,,2025-12-30T20:10:10.131924
iam_000_a01-011u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/printed.png,IAM_mini,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000
members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet
in London today to discuss a common course of action. Sir Roy is violently opposed to
Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary,
Mr. Iain Macleod, is insisting on a policy of change.","Delegates from Mr. Kenneth Kaunda's
United National Independence Party
( 280,000 members ) and Mr. Harry Nhubula's
African National Congress ( 400 ,000 ) will
meet in London today to discuss a common
use of action . Sir Roy is violently
opposed to Africano
getting and elected
majority in Northern Rhodesia , but the
Colonial Secretary , Mr. Iain Macleod ,
is insisting on a policy of change .",,2523.4878063201904,2644.775867462158,,,,2025-12-30T19:51:56.771933,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000
members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet
in London today to discuss a common course of action. Sir Roy is violently opposed
to Africans getting and elected majority in Northern Rhodesia, but the Colonial Secretary,
Mr. Iain Macleod, is insisting on a policy of change.",,1345.046043395996,3215.4669761657715,,,,2025-12-30T20:33:08.173498
iam_000_a01-014u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/printed.png,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party is
boycotting the London talks on the
Protectorate's future . Said Mr. Nkumbula
last night:
"" We want to discuss what to
do if the British demonstrations . ""
Yesterday Sir Roy's chief aide , Mr.
Julius Greenfield , telephoned his chief
a report on his talk with Mr. Macmillan
at Cheques.",,2864.108085632324,2641.2301063537598,,,,2025-12-30T19:33:09.009808,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.",,2244.133234024048,2082.602024078369,,,,2025-12-30T20:19:22.579927
iam_000_a01-026u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/printed.png,IAM_mini,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that
there have been secret negotiations on Northern Rhodesia's future. The Northern
Rhodesia conference in London has been boycotted by the two main settlers' parties
- the United Federal Party and the Dominion Party. But representatives of Sir Roy
Welensky, Prime Minister of the Central African Federation, went to Chequers at the
week-end for talks with Mr. Macmillan.","Mr. IAIN MACLEOD , the Colonial Secretary ,
denied in the Commons last night that
there have been secret negotiations on
Northern Rhodesia's future . The Northern
Rhodesia conference in London has been
boycotted by the two main settlers ' parties -
the United Federal Party and the Dominion
Party . But representatives of Sir Roy
Welensky, Prime Minister of the Central
African Federation , went to Chequers at
the week-end for talks with Mr. Macmillan .",,2492.9230213165283,2582.7322006225586,,,,2025-12-30T19:19:54.072372,"Mr. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that
there have been secret negotiations on Northern Rhodesia's future. The Northern
Rhodesia conference in London has been boycotted by the two main settlers' parties -
the United Federal Party and the Dominion Party. But representatives of Sir Roy
Welensky, Prime Minister of the Central African Federation, went to Chequers at
the week-end for talks with Mr. Macmillan.",,2534.783124923706,3990.1928901672363,,,,2025-12-30T20:08:50.810597
iam_000_a01-030u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/printed.png,IAM_mini,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the
week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret
negotiations."" He said Britain had an obligation to consult the Federal Government.
But the final decision remained with the British Government. Mr. James Callaghan,
Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks
by refusing to sit round the conference table.","Northern Rhodesia is a member of the Federation .
Mr. Macleod was not at the week-end
meeting . But he told M Ps yesterday : "" !
have no knowledge of secret negotiations . ""
He said Britain had an obligation to consult
the Federal Government . But the final
decision remained with the British Government
Mr. Jones Callaghan , Labour's Colonial
spokesman , said Sir Roy had no right to
delay progress in the talks by refusing
to sit round the conference table .",,7423.464059829712,9838.044881820679,,,,2025-12-30T19:43:24.611187,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the
week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret
negotiations."" He said Britain had an obligation to consult the Federal Government.
But the final decision remained with the British Government. Mr. James Callaghan,
Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks
by refusing to sit round the conference table.",,1742.6738739013672,1944.072961807251,,,,2025-12-30T20:26:56.183605
iam_000_a01-063u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/printed.png,IAM_mini,"But he said discussions ""on a higher level than in the past"" might be useful. The
President will probably discuss the problem with Dr. Brentano, the West German
Foreign Minister, who is due in Washington next week. A big slice of Germany's
""aid"" is the early payment of a 210million debt to America. United States officials
quickly point out that this is money due to America anyway.","But he said discussions "" on a higher
level than in the past ""might be useful .
The President will probably discuss the
problem with Dr. Brentano , the West German
Foreign Minister , who is due in Washington
next week . A big slice of Germany's "" aid ""
is the early payment of a 210 million
dept to America . United States officials
quickly point out that this is money due
to
America anyway .",,2490.0569915771484,2620.8109855651855,,,,2025-12-30T19:05:53.001339,"But he said discussions ""on a higher level than in the past"" might be useful. The
President will probably discuss the problem with Dr. Brentano, the West German
Foreign Minister, who is due in Washington next week. A big slice of Germany's
""aid"" is the early payment of a 210million debt to America. United States officials
quickly point out that this is money due to America anyway.",,1778.0108451843262,2044.9531078338623,,,,2025-12-30T19:59:21.083767
iam_000_a01-068u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/printed.png,IAM_mini,"And they are unimpressed by the Germans' claim that they cannot pay more than
357million without upsetting their own economy. The Americans say Germany is
having it too good and is not paying for the past or for the present. The Adenauer
Government flatly rejected attempts by the Eisenhower Government to get them to
pay a regular sum towards the cost of keeping American troops in Germany.","And they are mimpressed by the Germans ' claim
that they cannot pay more than 357 million
without upsetting their own economy . The
Americans say Germany is having it too
good and is not paying for the past
or for the present . The Adenauer Government
flatly rejected attempts by the Eisenhower
Government to get them to pay a regular
sun towards the cost of keeping American
troops 'in
Germany .",,2552.06298828125,2620.790958404541,,,,2025-12-30T19:26:23.580844,"And they are unimpressed by the Germans' claim that they cannot pay more than
357million without upsetting their own economy. The Americans say Germany is
having it too good and is not paying for the past or for the present. The Adenauer
Government flatly rejected attempts by the Eisenhower Government to get them to
pay a regular sum towards the cost of keeping American troops in Germany.",,1282.1249961853027,2256.6938400268555,,,,2025-12-30T20:13:43.911182
iam_000_a01-077u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/printed.png,IAM_mini,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference ad-
mitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on
February 20.","And , since this is election year in West
Germany , Dr. Adenauer is in a tough spot .
Joyce
Egginton cables : President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power .
He said he was waiting for his senior
military aides to come up with the answer
on February 20 .",,1900.6128311157227,2586.4181518554688,,,,2025-12-30T19:40:28.749696,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference
admitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on
February 20.",,1312.0970726013184,7363.369941711426,,,,2025-12-30T20:25:00.752191
iam_000_a01-091u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/printed.png,IAM_mini,"The result of the vote was not in doubt. For the Tories were massed in answer to their
whips to defeat a censure motion on the Government for ""undermining the Health
Service"" and placing heavy burdens on those least able to bear them. Mr. Brown
declared that the policy under censure was monstrous. It had offended many people
far beyond the ranks of Labour supporters.","The result of the vote was not in doubt .
For the Tories were massed in answer to
their whips to defeat a censure motion
on the Government for "" undermining the
Health Service and placing heavy burdens
on those least able to Bear them . Mr .
Brown declared that the policy under
Censure ways monstrous . It had offended
many people far beyond the rank of
Labour supportes .",,2492.098093032837,2643.855094909668,,,,2025-12-30T19:38:25.666584,"The result of the vote was not in doubt. For the Tories were massed in answer to
their whips to defeat a censure motion on the Government for ""undermining the
Health Service"" and placing heavy burdens on those least able to bear them. Mr.
Brown declared that the policy under censure was monstrous. It had offended many people
far beyond the ranks of Labour supporters.",,1420.3531742095947,3177.2680282592773,,,,2025-12-30T20:23:23.805000
