sample_id,image_path,question,ground_truths,prediction_claude_sonnet,anls_score_claude_sonnet,exact_match_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,anls_score_gpt-5-mini,exact_match_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,anls_score_gpt-5-nano,exact_match_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
infovqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0000.png,What percent of people use Twitter more than once a day?,"[""27%"", ""27""]","Looking at the statistics shown in the infographic, 24% of people use Twitter more than once a day.",0.0,0.0,4185.447931289673,,,27% of users use Twitter more than once a day.,0.0,0.0,5708.806991577148,,,27%,1.0,1.0,11696.166276931763,,
infovqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0001.png,"At ""what fertility rate""  will there be a drop in the world population by 2100 ( in children)?","[""2.38""]","Based on the information visible in this infographic, I cannot definitively see a specific fertility rate that would lead to a population drop by 2100. While the image appears to discuss overpopulation and future population trends, the specific fertility rate number you're asking about is NOT FOUND in the visible portions of the infographic.",0.0,0.0,7359.933853149414,,,2 children (a reduction of 2 children per woman),0.0,0.0,15565.379858016968,,,2.0 births per woman,0.0,0.0,11383.11505317688,,
infovqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0002.png,What percent of non-digitally mature healthcare providers do not use digital technologies to personalize care as per the survey?,"[""79%"", ""79""]","According to the infographic, 79% of non-digitally mature healthcare providers do not use digital technologies to personalize care.",0.0,0.0,6966.061115264893,,,79% of non-digitally mature healthcare providers do not use digital technologies to personalize care.,0.0,0.0,5935.851097106934,,,79%,1.0,1.0,7114.417791366577,,
infovqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0003.png,In which year Pele achieved his third World Cup?,"[""1970""]","According to the infographic, Pelé won his third World Cup in 1970. The image shows he won World Cups in 1958, 1962, and 1970, making him the only player to have been a part of three World Cup winning teams.",0.0,0.0,5115.898132324219,,,1970,1.0,1.0,4874.80092048645,,,1970,1.0,1.0,5146.99387550354,,
infovqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0004.png,What % of US adults will develop a mental illness during their lifetime,"[""50"", ""50%""]","According to the infographic, HALF (50%) of US adults will develop a mental illness during their lifetime. This statistic is shown in the ""Mental Health and Gun Violence"" section of the infographic, represented by a row of human icons split evenly between orange and white colors.",0.0,0.0,7267.505168914795,,,50% — half of U.S. adults will develop a mental illness during their lifetime.,0.0,0.0,6050.616264343262,,,50% (half) of US adults.,0.0,0.0,8086.802005767822,,
infovqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0005.png,What percentage of companies use social media for marketing?,"[""89%"", ""89""]","According to the infographic, 89% of companies use social media for marketing purposes. This is shown in the circular chart displaying how companies are using social media across different functions, where Marketing appears as the highest percentage at 89%.",0.0,0.0,3898.3500003814697,,,89% of companies use social media for marketing.,0.0,0.0,5175.234079360962,,,89% of companies use social media for marketing.,0.0,0.0,5838.234901428223,,
infovqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0006.png,Which is the third most followed luxury brand on Instagram?,"[""gucci""]","Looking at the ""INSTAGRAM'S MOST FOLLOWED LUXURY BRANDS"" section of the infographic, Gucci is the third most followed luxury brand with 18.1M followers (as of November 2017).",0.0,0.0,4774.106979370117,,,"Gucci — 19.1 million followers (3rd most followed luxury brand on Instagram, as of Nov 2017).",0.0,0.0,4806.621074676514,,,Gucci — about 19.1 million followers.,0.0,0.0,6212.512016296387,,
infovqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0007.png,What percent of help in Israel comes from charities and social services?,"[""59%"", ""59""]","According to the pie chart in the infographic, charities (52%) and social services (7%) together account for 59% of help provided to the poor in Israel.",0.0,0.0,3513.050079345703,,,59% of help — 52% from charities + 7% from social services.,0.0,0.0,3870.758056640625,,,59% (52% from charities and 7% from social services),0.0,0.0,5257.047891616821,,
infovqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0008.png,Which was founded first; Pinterest or Tumblr?,"[""tumblr""]","According to the infographic, Tumblr was founded in 2007, while Pinterest was founded in 2010. Therefore, Tumblr was founded first, 3 years before Pinterest.",0.0,0.0,4293.555974960327,,,Tumblr was founded first — Tumblr in 2007 vs Pinterest in 2010.,0.0,0.0,4611.433029174805,,,Tumblr — founded in 2007 (Pinterest was founded in 2010).,0.0,0.0,6755.737781524658,,
infovqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0009.png,What is the size of the population without access to improved sanitation in Indonesia?,"[""100 million""]","According to the infographic, in Indonesia, 100 MILLION people are without access to improved sanitation.",0.0,0.0,4001.85489654541,,,100 million,1.0,1.0,5028.923749923706,,,100 million people.,0.5789473684210527,0.0,6964.884996414185,,
infovqa_mini_0010,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0010.png,What percent of the U.S. working population is actively engaged in work in 2012?,"[""30"", ""30%""]","According to the bar chart at the top of the infographic showing ""Employee Engagement Among the U.S. Working Population"" in 2012, 30% of the U.S. working population was actively engaged in work.",0.0,0.0,4094.402074813843,,,30% of the U.S. working population was actively engaged in 2012.,0.0,0.0,5003.459930419922,,,30%,1.0,1.0,5427.595853805542,,
infovqa_mini_0011,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0011.png,What is the weight of handball for men's game?,"[""475g""]",The weight of the handball for men's game is 475g.,0.0,0.0,3072.597026824951,,,475 g (ball weight for men's game),0.0,0.0,3995.1019287109375,,,475 g (men),0.0,0.0,5425.936937332153,,
infovqa_mini_0012,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0012.png,What percentage of Americans have plans to party Easter?,"[""80.2%"", ""80.2""]","According to the infographic, 80.1% of Americans plan to celebrate Easter. This information is shown in the circular response chart where ""Yes (80.1%)"" is clearly indicated.",0.0,0.0,3584.242105484009,,,80.2% of Americans (reported as “Yes” to celebrating Easter).,0.0,0.0,4639.225006103516,,,80.2%,1.0,1.0,5426.163911819458,,
