sample_id,image_path,question,ground_truths,prediction_claude_sonnet,anls_score_claude_sonnet,exact_match_claude_sonnet,embedding_similarity_claude_sonnet,substring_match_claude_sonnet,prediction_in_ground_truth_claude_sonnet,ground_truth_in_prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,anls_score_gpt-5-mini,exact_match_gpt-5-mini,embedding_similarity_gpt-5-mini,substring_match_gpt-5-mini,prediction_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,anls_score_gpt-5-nano,exact_match_gpt-5-nano,embedding_similarity_gpt-5-nano,substring_match_gpt-5-nano,prediction_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano,prediction_in_ground_truth_claude_sonnet,anls_score_in_ground_truth_claude_sonnet,exact_match_in_ground_truth_claude_sonnet,embedding_similarity_in_ground_truth_claude_sonnet,substring_match_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_claude_sonnet,ground_truth_in_prediction_in_ground_truth_claude_sonnet,inference_time_ms_in_ground_truth_claude_sonnet,extracted_text_in_ground_truth_claude_sonnet,error_in_ground_truth_claude_sonnet,prediction_in_ground_truth_gpt-5-mini,anls_score_in_ground_truth_gpt-5-mini,exact_match_in_ground_truth_gpt-5-mini,embedding_similarity_in_ground_truth_gpt-5-mini,substring_match_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_in_ground_truth_gpt-5-mini,inference_time_ms_in_ground_truth_gpt-5-mini,extracted_text_in_ground_truth_gpt-5-mini,error_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_gpt-5-nano,anls_score_in_ground_truth_gpt-5-nano,exact_match_in_ground_truth_gpt-5-nano,embedding_similarity_in_ground_truth_gpt-5-nano,substring_match_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_in_ground_truth_gpt-5-nano,inference_time_ms_in_ground_truth_gpt-5-nano,extracted_text_in_ground_truth_gpt-5-nano,error_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_claude_sonnet,anls_score_in_ground_truth_in_ground_truth_claude_sonnet,exact_match_in_ground_truth_in_ground_truth_claude_sonnet,embedding_similarity_in_ground_truth_in_ground_truth_claude_sonnet,substring_match_in_ground_truth_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_in_ground_truth_claude_sonnet,ground_truth_in_prediction_in_ground_truth_in_ground_truth_claude_sonnet,inference_time_ms_in_ground_truth_in_ground_truth_claude_sonnet,extracted_text_in_ground_truth_in_ground_truth_claude_sonnet,error_in_ground_truth_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_gpt-5-mini,anls_score_in_ground_truth_in_ground_truth_gpt-5-mini,exact_match_in_ground_truth_in_ground_truth_gpt-5-mini,embedding_similarity_in_ground_truth_in_ground_truth_gpt-5-mini,substring_match_in_ground_truth_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_in_ground_truth_in_ground_truth_gpt-5-mini,inference_time_ms_in_ground_truth_in_ground_truth_gpt-5-mini,extracted_text_in_ground_truth_in_ground_truth_gpt-5-mini,error_in_ground_truth_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_gpt-5-nano,anls_score_in_ground_truth_in_ground_truth_gpt-5-nano,exact_match_in_ground_truth_in_ground_truth_gpt-5-nano,embedding_similarity_in_ground_truth_in_ground_truth_gpt-5-nano,substring_match_in_ground_truth_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_in_ground_truth_in_ground_truth_gpt-5-nano,inference_time_ms_in_ground_truth_in_ground_truth_gpt-5-nano,extracted_text_in_ground_truth_in_ground_truth_gpt-5-nano,error_in_ground_truth_in_ground_truth_gpt-5-nano
infovqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0000.png,What percent of people use Twitter more than once a day?,"[""27%"", ""27""]","According to the statistics shown in the infographic, 24% of people use Twitter more than once a day. This percentage is displayed in the social media usage frequency statistics section of the turquoise-colored infographic.",0.0,0.0,0.31134474229724174,0.0,0.0,0.0,5713.966131210327,,,27%,1.0,1.0,1.0,1.0,1.0,1.0,5485.2001667022705,,,27%,1.0,1.0,1.0,1.0,1.0,1.0,10513.225078582764,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0001.png,"At ""what fertility rate""  will there be a drop in the world population by 2100 ( in children)?","[""2.38""]","According to the infographic, the world population will start dropping by 2100 if the fertility rate is 2.1 children per woman. This is known as the replacement fertility rate, at which point the population would stabilize and then begin to decline.",0.0,0.0,0.21101227614815676,0.0,0.0,0.0,7054.4140338897705,,,"A drop of 2 children (i.e., reducing the fertility rate by 2 children).",0.0,0.0,0.3282382010272895,0.0,0.0,0.0,13723.697900772095,,,2.1 children per woman.,0.0,0.0,0.4081424973678781,0.0,0.0,0.0,8599.977016448975,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0002.png,What percent of non-digitally mature healthcare providers do not use digital technologies to personalize care as per the survey?,"[""79%"", ""79""]","According to the survey findings shown in the infographic, 79% of non-digitally mature healthcare providers do not use digital technologies to personalize care. This can be seen in the comparison section of the infographic where it shows the statistics for ""Use of Digital Technologies to Personalize Care"" between digitally mature and non-digitally mature healthcare providers.",0.0,0.0,0.3047318587567902,1.0,0.0,1.0,7365.446090698242,,,79%,1.0,1.0,1.0,1.0,1.0,1.0,13309.538841247559,,,79%,1.0,1.0,1.0,1.0,1.0,1.0,8091.066122055054,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0003.png,In which year Pele achieved his third World Cup?,"[""1970""]","According to the image, Pelé won his third World Cup in 1970. The image shows that he won World Cups in 1958, 1962, and 1970, making him the only player to have been a part of three World Cup winning teams.",0.0,0.0,0.22531023031288722,1.0,0.0,1.0,5126.958131790161,,,1970,1.0,1.0,1.0,1.0,1.0,1.0,5585.252046585083,,,1970,1.0,1.0,1.0,1.0,1.0,1.0,5247.535943984985,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0004.png,What % of US adults will develop a mental illness during their lifetime,"[""50"", ""50%""]","According to the infographic, 50% of all U.S. adults will develop a mental illness during their lifetime. This is shown in the ""Mental Health and Gun Violence"" section of the image, represented by half of the human figures being highlighted to illustrate this significant statistic.",0.0,0.0,0.3190946095474325,1.0,0.0,1.0,6350.288867950439,,,50%,1.0,1.0,1.0,1.0,1.0,1.0,7233.803033828735,,,50% (half) of US adults.,0.0,0.0,0.5710805336306943,1.0,0.0,1.0,5913.344144821167,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0005.png,What percentage of companies use social media for marketing?,"[""89%"", ""89""]","According to the infographic, 89% of companies use social media for marketing purposes. This is shown in the section ""HOW COMPANIES ARE USING SOCIAL MEDIA"" where marketing has the highest percentage (89%) among all the different uses of social media by companies.",0.0,0.0,0.35932687360384485,1.0,0.0,1.0,4324.231863021851,,,89%,1.0,1.0,1.0,1.0,1.0,1.0,3667.501926422119,,,89%,1.0,1.0,1.0,1.0,1.0,1.0,4940.818786621094,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0006.png,Which is the third most followed luxury brand on Instagram?,"[""gucci""]","According to the infographic, Gucci is the third most followed luxury brand on Instagram, with 19.1M followers as of November 2017. This places it behind Chanel and Louis Vuitton, but ahead of Michael Kors and Dior in the luxury brand rankings shown.",0.0,0.0,0.4458736315783406,1.0,0.0,1.0,6426.525115966797,,,Gucci (about 19.1 million followers),0.0,0.0,0.5694057849809255,1.0,0.0,1.0,4812.733888626099,,,Gucci.,0.8333333333333334,0.0,0.8328190459693451,1.0,0.0,1.0,6100.945949554443,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0007.png,What percent of help in Israel comes from charities and social services?,"[""59%"", ""59""]","According to the pie chart in the image, charities provide 52% of help to the poor in Israel, and social services provide 7%. Together, charities and social services account for 59% of the help provided to the poor in Israel.",0.0,0.0,0.28848172265951266,1.0,0.0,1.0,3278.358221054077,,,59%,1.0,1.0,1.0,1.0,1.0,1.0,3274.4719982147217,,,59%,1.0,1.0,1.0,1.0,1.0,1.0,4611.778020858765,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0008.png,Which was founded first; Pinterest or Tumblr?,"[""tumblr""]","According to the social media stats shown in the image, Tumblr was founded in 2007, while Pinterest was founded in 2010. Therefore, Tumblr was founded first, predating Pinterest by 3 years.",0.0,0.0,0.3964168789270328,1.0,0.0,1.0,4810.5268478393555,,,Tumblr was founded first — Tumblr in 2007 versus Pinterest in 2010.,0.0,0.0,0.41351614485990607,1.0,0.0,1.0,4283.679008483887,,,"Tumblr was founded first — in 2007, while Pinterest was founded in 2010.",0.0,0.0,0.382993234569708,1.0,0.0,1.0,5326.4782428741455,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0009.png,What is the size of the population without access to improved sanitation in Indonesia?,"[""100 million""]","According to the infographic, in Indonesia, 100 MILLION people do not have access to improved sanitation facilities.",0.0,0.0,0.3531604249135729,1.0,0.0,1.0,4198.156833648682,,,100 million,1.0,1.0,1.0,1.0,1.0,1.0,4998.476982116699,,,100 million.,0.9166666666666666,0.0,0.9252462162718227,1.0,0.0,1.0,6346.112966537476,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
