sample_id,image_path,ground_truth,language,dataset,prediction_azure_intelligence,inference_time_ms_azure_intelligence,tokens_used_azure_intelligence,error_azure_intelligence,prediction_mistral_document_ai,inference_time_ms_mistral_document_ai,tokens_used_mistral_document_ai,error_mistral_document_ai
iam_000_a01-000u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-000u/handwritten.png,"A MOVE to stop Mr.""
Gaitskell from
nominating any more Labour Life Peers
is to be made at a meeting of Labour
MPs tomorrow . Mr. Michael Foot has
put down a resolution on the subject
and he is to be backed by Mr. Will
Griffiths , MP for Manchester Exchange .",,IAM_mini,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to
be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down
a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for
Manchester Exchange.",1131.3579082489014,,,"A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for Manchester Exchange.",1661.9758605957031,,
iam_000_a01-003u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-003u/handwritten.png,"Though they may gather some Left-wing
support , a large majority of
Labour
MPs are likely to turn down the Foot-
Griffiths resolution . Mr. Foot's line will
be that as Labour M Ps opposed the
Government Bill which brought life peers
into existence , they should not now put
forward nominees . He believes that the
House of Lords should be abolished and
that Labour should not take any steps
which would appear to "" prop up ""an out.
·",,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour M Ps
are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as
Labour M Ps opposed the Government Bill which brought life peers into existence,
they should not now put forward nominees. He believes that the House of Lords
should be abolished and that Labour should not take any steps which would appear
to ""prop up"" an out-dated institution.",2517.547130584717,,,"Though they may gather some Left-wing support, a large majority of Labour M Ps are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as Labour M Ps opposed the Government Bill which brought life peers into existence, they should not now put forward nominees. He believes that the House of Lords should be abolished and that Labour should not take any steps which would appear to ""prop up"" an out-dated institution.",1965.608835220337,,
iam_000_a01-011u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-011u/handwritten.png,"Delegates from Mr. Kenneth Kaunda's
United National Independence Party
( 280,000 members ) and Mr. Harry Nhubula's
African National Congress ( 400 ,000 ) will
meet in London today to discuss a common
use of action . Sir Roy is violently
opposed to Africano
getting and elected
majority in Northern Rhodesia , but the
Colonial Secretary , Mr. Iain Macleod ,
is insisting on a policy of change .",,IAM_mini,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000
members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet
in London today to discuss a common course of action. Sir Roy is violently opposed to
Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary,
Mr. Iain Macleod, is insisting on a policy of change.",2523.4878063201904,,,"Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000 members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet in London today to discuss a common course of action. Sir Roy is violently opposed to Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary, Mr. Iain Macleod, is insisting on a policy of change.",1345.046043395996,,
iam_000_a01-014u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-014u/handwritten.png,"Sir Roy's United Federal Party is
boycotting the London talks on the
Protectorate's future . Said Mr. Nkumbula
last night:
"" We want to discuss what to
do if the British demonstrations . ""
Yesterday Sir Roy's chief aide , Mr.
Julius Greenfield , telephoned his chief
a report on his talk with Mr. Macmillan
at Cheques.",,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.",2864.108085632324,,,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British Government gives in to Sir Roy and the talks fall through. There are bound to be demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned his chief a report on his talks with Mr. Macmillan at Chequers.",2244.133234024048,,
iam_000_a01-026u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-026u/handwritten.png,"Mr. IAIN MACLEOD , the Colonial Secretary ,
denied in the Commons last night that
there have been secret negotiations on
Northern Rhodesia's future . The Northern
Rhodesia conference in London has been
boycotted by the two main settlers ' parties -
the United Federal Party and the Dominion
Party . But representatives of Sir Roy
Welensky, Prime Minister of the Central
African Federation , went to Chequers at
the week-end for talks with Mr. Macmillan .",,IAM_mini,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that
there have been secret negotiations on Northern Rhodesia's future. The Northern
Rhodesia conference in London has been boycotted by the two main settlers' parties
- the United Federal Party and the Dominion Party. But representatives of Sir Roy
Welensky, Prime Minister of the Central African Federation, went to Chequers at the
week-end for talks with Mr. Macmillan.",2492.9230213165283,,,"MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that there have been secret negotiations on Northern Rhodesia's future. The Northern Rhodesia conference in London has been boycotted by the two main settlers' parties - the United Federal Party and the Dominion Party. But representatives of Sir Roy Welensky, Prime Minister of the Central African Federation, went to Chequers at the week-end for talks with Mr. Macmillan.",2534.783124923706,,
iam_000_a01-030u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-030u/handwritten.png,"Northern Rhodesia is a member of the Federation .
Mr. Macleod was not at the week-end
meeting . But he told M Ps yesterday : "" !
have no knowledge of secret negotiations . ""
He said Britain had an obligation to consult
the Federal Government . But the final
decision remained with the British Government
Mr. Jones Callaghan , Labour's Colonial
spokesman , said Sir Roy had no right to
delay progress in the talks by refusing
to sit round the conference table .",,IAM_mini,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the
week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret
negotiations."" He said Britain had an obligation to consult the Federal Government.
But the final decision remained with the British Government. Mr. James Callaghan,
Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks
by refusing to sit round the conference table.",7423.464059829712,,,"Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret negotiations."" He said Britain had an obligation to consult the Federal Government. But the final decision remained with the British Government. Mr. James Callaghan, Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks by refusing to sit round the conference table.",1742.6738739013672,,
iam_000_a01-063u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-063u/handwritten.png,"But he said discussions "" on a higher
level than in the past ""might be useful .
The President will probably discuss the
problem with Dr. Brentano , the West German
Foreign Minister , who is due in Washington
next week . A big slice of Germany's "" aid ""
is the early payment of a 210 million
dept to America . United States officials
quickly point out that this is money due
to
America anyway .",,IAM_mini,"But he said discussions ""on a higher level than in the past"" might be useful. The
President will probably discuss the problem with Dr. Brentano, the West German
Foreign Minister, who is due in Washington next week. A big slice of Germany's
""aid"" is the early payment of a 210million debt to America. United States officials
quickly point out that this is money due to America anyway.",2490.0569915771484,,,"But he said discussions ""on a higher level than in the past"" might be useful. The President will probably discuss the problem with Dr. Brentano, the West German Foreign Minister, who is due in Washington next week. A big slice of Germany's ""aid"" is the early payment of a 210 million debt to America. United States officials quickly point out that this is money due to America anyway.",1778.0108451843262,,
iam_000_a01-068u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-068u/handwritten.png,"And they are mimpressed by the Germans ' claim
that they cannot pay more than 357 million
without upsetting their own economy . The
Americans say Germany is having it too
good and is not paying for the past
or for the present . The Adenauer Government
flatly rejected attempts by the Eisenhower
Government to get them to pay a regular
sun towards the cost of keeping American
troops 'in
Germany .",,IAM_mini,"And they are unimpressed by the Germans' claim that they cannot pay more than
357million without upsetting their own economy. The Americans say Germany is
having it too good and is not paying for the past or for the present. The Adenauer
Government flatly rejected attempts by the Eisenhower Government to get them to
pay a regular sum towards the cost of keeping American troops in Germany.",2552.06298828125,,,And they are unimpressed by the Germans' claim that they cannot pay more than 357 million without upsetting their own economy. The Americans say Germany is having it too good and is not paying for the past or for the present. The Adenauer Government flatly rejected attempts by the Eisenhower Government to get them to pay a regular sum towards the cost of keeping American troops in Germany.,1282.1249961853027,,
iam_000_a01-077u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-077u/handwritten.png,"And , since this is election year in West
Germany , Dr. Adenauer is in a tough spot .
Joyce
Egginton cables : President Kennedy
at his Washington Press conference admitted
he did not know whether America was
lagging behind Russia in missile power .
He said he was waiting for his senior
military aides to come up with the answer
on February 20 .",,IAM_mini,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference ad-
mitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on
February 20.",1900.6128311157227,,,"And, since this is election year in West Germany, Dr. Adenauer is in a tough spot.
Joyce Egginton cables: President Kennedy at his Washington Press conference ad-
mitted he did not know whether America was lagging behind Russia in missile power.
He said he was waiting for his senior military aides to come up with the answer on
February 20.",1312.0970726013184,,
iam_000_a01-091u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-091u/handwritten.png,"The result of the vote was not in doubt .
For the Tories were massed in answer to
their whips to defeat a censure motion
on the Government for "" undermining the
Health Service and placing heavy burdens
on those least able to Bear them . Mr .
Brown declared that the policy under
Censure ways monstrous . It had offended
many people far beyond the rank of
Labour supportes .",,IAM_mini,"The result of the vote was not in doubt. For the Tories were massed in answer to their
whips to defeat a censure motion on the Government for ""undermining the Health
Service"" and placing heavy burdens on those least able to bear them. Mr. Brown
declared that the policy under censure was monstrous. It had offended many people
far beyond the ranks of Labour supporters.",2492.098093032837,,,"The result of the vote was not in doubt. For the Tories were massed in answer to their
whips to defeat a censure motion on the Government for ""undermining the Health
Service"" and placing heavy burdens on those least able to bear them. Mr. Brown
declared that the policy under censure was monstrous. It had offended many people
far beyond the ranks of Labour supporters.",1420.3531742095947,,
