sample_id,image_path,ground_truth,language,dataset,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA","Latin, Arabic",ICDAR_mini,"ولاية أريانة
مرحبا بكم
BIENVENUE A L'ARIANA
WELCOME TO ARIANA",9429.228067398071,,,"- ولاية أريانة
- BIENVENUE A L'ARIANA
- WELCOME TO ARIANA",6305.370807647705,,
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,"مخبر
LABORATOIRE
Chel
Electrique
###
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-","Symbols, Arabic, Latin",ICDAR_mini,"مخبر
LABORATOIRE

Chel
Chiheb Electrique

Entreprise Chiheb Electrique

Etude & Câblage
des Armoires Electriques

Tel.: 71 425 760 - Fax: 71 428 793",9416.053056716919,,,"مختبر
LABORATOIRE
Entreprise Chiheb Electrique
Etude & Câblage
des Armoires Electriques
Tel.: 71 425 760 - Fax: 71 428 793",11706.560134887695,,
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,"###
###
La
chére
LL
###
S
###","None, Latin",ICDAR_mini,"Here’s a best-effort transcription of all visible text in the image (uncertain/partially-visible items noted):

- La chére
- (small cursive text under “La chére” – hard to read; looks like) vintage pour ...  [uncertain]
- (partial vertical sign at right) LL SH OP  / LL SHOP  [partially visible]

Notes: there is a small sticker/text on the air-conditioning unit that is unreadable in this photo.",9209.769010543823,,,- La chèvre,10241.935729980469,,
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,"###
للتكوين
لإعلامية
في
و
للغات
21
242
240
###
###","Latin, Arabic",ICDAR_mini,"Extracted text (as seen in the image):

- الاعلامية
- للغات
- 21 242 240

Note: the small top-most line is partly obscured and not fully legible; it appears to end with ""للتكوين"" but the preceding word is unclear.",8905.632019042969,,,"- 21 242 240

The rest of the Arabic text on the purple sign is not legible due to angle and low contrast, so I cannot reliably transcribe it. If you can provide a higher-resolution or straight-on image, I can extract the full text.",11307.766199111938,,
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,"###
###
Liban
Rue
du","Latin, Arabic",ICDAR_mini,"شارع لبنان
Rue du Liban",5734.694719314575,,,"- Rue du Liban
- شارع لبنان",6229.988098144531,,
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,"أحلى
التسالي
بطاطس
حلزوني
###
###
فشار
كرسبي
ذرة-
أحلى
###
ذرة
كرسبي
-","Symbols, Arabic",ICDAR_mini,"Detected text (Arabic), as seen in the image:

- أحلى التسالي
- كريسبي - ذرة  (appears beneath/next to ""أحلى التسالي"")
- بطاطس حلزوني

Notes:
- ""أحلى التسالي"" appears on the red signs at right (repeated).
- ""بطاطس حلزوني"" appears on the yellow sign above the blue-covered stall.
- ""كريسبي - ذرة"" is a best-read of the smaller script under/near ""أحلى التسالي"" and is marked as approximate.",10380.584955215454,,,"I can try to extract the text, but this image is a bit small and some signs are blurry, so an accurate full transcription is difficult. Here’s what I can say and how we can improve:

What I can tell from the image:
- There are several Arabic signs/stalls in a fairground setting.
- The most legible items are not easily readable due to distance and blur.

If you can provide:
- A higher-resolution version of the image, or
- Cropped close-ups of the signs (especially the yellow sign in the middle and the red/orange banners on the right),

I will run OCR and give you a precise, line-by-line transcription of all visible text.",13262.768983840942,,
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله
###","Symbols, Arabic, Latin",ICDAR_mini,"HAMIL AL-MUSK (curved text in logo at top)

حامل المسك

HAMIL AL MUSK

OUD & PERFUMES

(Additional small/partial text on the shutter and window is present but not clearly legible in the image.)",9437.652111053467,,,"- Arabic: حامل المسك
- English (main): HAMIL AL MUSK
- Curved logo text: HAMIL AL-MUSK
- Bottom line: OUD & PERFUMES",10206.278085708618,,
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
###
###
###
###
###
###
###
مصلى
حمامات
###
رجال
حمامات
و
نساء","None, Arabic",ICDAR_mini,"حمامات ومصلى نسائي
حمامات ومصلى رجال
مصلى و حمامات نساء",13294.541835784912,,,,16898.610830307007,,
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St","Latin, Arabic",ICDAR_mini,"شارع الوصل
Al Wasl Rd

شارع الشوعي
Al Sho'ee St",8703.798770904541,,,,12429.32677268982,,
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",Arabic,ICDAR_mini,"الرجاء يمنع حمل
السلاح داخل
الصالة

(الجملة كاملة: الرجاء يمنع حمل السلاح داخل الصالة)",6871.028900146484,,,"الرجاء بمنع حمل
السلاح داخل
الصالة",6122.329950332642,,
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,"###
ابن
بضائع
نقل
29
267
103
###
/
###","Latin, Symbols, Arabic",ICDAR_mini,"Extracted text (visible on the truck):

- نقل بضائع
- 29 267 103
- 20 396 260  /  20 396 207

Notes:
- There are small logos and additional tiny text on the vehicle and a rooftop sign in the photo, but they are not legible enough to transcribe reliably.",9724.922180175781,,,"- نقل بضائع
- 29 267 103
- 20 396 224
- 20 395 207",9583.043098449707,,
