sample_id,image_path,ground_truth,language,dataset,prediction_azure_intelligence,inference_time_ms_azure_intelligence,tokens_used_azure_intelligence,error_azure_intelligence,prediction_donut,inference_time_ms_donut,tokens_used_donut,error_donut,prediction_mistral_document_ai,inference_time_ms_mistral_document_ai,tokens_used_mistral_document_ai,error_mistral_document_ai
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA","Latin, Arabic",ICDAR_mini,"ولاية أريانة
ترحب بكم
BIENVENUE A L'ARIANA
WELCOME TO ARIANA",2470.510721206665,,,<s_menu><s_nm> ITEMINIKA,488.0561828613281,,,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",921.8432903289795,,
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,"مخبر
LABORATOIRE
Chel
Electrique
###
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-","Symbols, Arabic, Latin",ICDAR_mini,"مخبر
LABORATOIRE
Chel
Chiheb Electrique
Entreprise Chiheb Electrique
Etude & Câblage
des Armoires Electriques
Tel .: 71 425 760 - Fax: 71 428 793",2531.7931175231934,,,<s_menu><s_nm> LABORATOIRE</s_nm><s_price> Chel</s_nm><s_price> Chel</s_price><s_sub><s_nm> Chiheb Electrius</s_nm><sep/><s_nm> Entreprise Chiheb Electrique</s_nm></s_sub></s_menu><s_sub_total><s_subtotal_price> Etude & Cablage</s_nm><sep/><s_nm> des Armoires Electriques</s_nm></s_sub></s_menu><s_total><s_total_price> 425 760 - Fax: 71 428 793</s_total_price></s_total>,1022.8290557861328,,,"# LABORATOIRE

![img-0.jpeg](img-0.jpeg)

Entreprise Chiheb Electrique

Etude &amp; Câblage des Armoires Electriques

Tel.: 71 425 760 - Fax: 71 428 793

![img-1.jpeg](img-1.jpeg)",1842.5469398498535,,
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,"###
###
La
chére
LL
###
S
###","None, Latin",ICDAR_mini,"La chére
F",2466.8118953704834,,,<s_menu><s_nm>,443.36414337158203,,,"En chère
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
V",1945.0139999389648,,
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,"###
للتكوين
لإعلامية
في
و
للغات
21
242
240
###
###","Latin, Arabic",ICDAR_mini,"ـايسيل للتكوين
علامية
21 242 240",2501.826047897339,,,<s_menu><s_nm>,443.5608386993408,,,"ID-100000
21 242 240",979.0799617767334,,
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,"###
###
Liban
Rue
du","Latin, Arabic",ICDAR_mini,"وَاعْ لَنَانُ
Rue du Liban",2468.7533378601074,,,<s_menu><s_nm>,439.51892852783203,,,# Rué du Liban,813.3988380432129,,
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,"أحلى
التسالي
بطاطس
حلزوني
###
###
فشار
كرسبي
ذرة-
أحلى
###
ذرة
كرسبي
-","Symbols, Arabic",ICDAR_mini,"أحلى التسالي
كرسبي - ذرة
بطاطس حلزوني
فشار HEبـ
مروني
S
أحلى التسـ
كرسبي - ذرة",2642.728090286255,,,<s_menu><s_nm>,481.45508766174316,,,"![img-0.jpeg](img-0.jpeg)

# 2021

## 1500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",2827.552080154419,,
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله
###","Symbols, Arabic, Latin",ICDAR_mini,"elwall Jala
HAMIL
AL - MUSK
HAMIL AL MUSK
OUD & PERFUMES
ـيات
co",2547.250986099243,,,<s_menu><s_nm> HAMIL AL MUSK</s_nm><s_num> PERFUMES</s_total>,505.5563449859619,,,"^{}[] HAMIL AL-MUSK

# Helmah al-Musk
## HAMIL AL MUSK
### OUD &amp; PERFUMES

^{}[] Helmah al-Musk
^{}[] 30 April 2014",1572.8211402893066,,
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
###
###
###
###
###
###
###
مصلى
حمامات
###
رجال
حمامات
و
نساء","None, Arabic",ICDAR_mini,"حمامات ومصلى نسائي
8
مصلى
وحمامات
نساء
كمامات ومصلى رخاص
110
تشرد",3854.045867919922,,,<s_menu><s_nm>,501.5218257904053,,,"![img-0.jpeg](img-0.jpeg)

**Paseo de la Residencia**

**18**

**Paseo de la Inscripción**

**19**

**Paseo de la Inscripción**

**20**

**Paseo de la Inscripción**

**21**

**Paseo de la Inscripción**

**22**

**Paseo de la Inscripción**

**23**

**Paseo de la Inscripción**

**24**

**Paseo de la Inscripción**

**25**

**Paseo de la Inscripción**

**26**

**Paseo de la Inscripción**

**27**

**Paseo de la Inscripción**

**28**

**Paseo de la Inscripción**

**29**

**Paseo de la Inscripción**

**30**

**Paseo de la Inscripción**

**31**

**Paseo de la Inscripción**

**32**

**Paseo de la Inscripción**

**33**

**Paseo de la Inscripción**

**34**

**Paseo de la Inscripción**

**35**

**Paseo de la Inscripción**

**36**

**Paseo de la Inscripción**

**37**

**Paseo de la Inscripción**

**38**

**Paseo de la Inscripción**

**39**

**Paseo de la Inscripción**

**40**

**Paseo de la Inscripción**

**41**

**Paseo de la Inscripción**

**42**

**Paseo de la Inscripción**

**43**

**Paseo de la Inscripción**

**44**

**Paseo de la Inscripción**

**45**

**Paseo de la Inscripción**

**46**

**Paseo de la Inscripción**

**47**

**Paseo de la Inscripción**

**48**

**Paseo de la Inscripción**",3658.03599357605,,
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St","Latin, Arabic",ICDAR_mini,"شارع الوصل
Al Wasl Rd
شارع الشوعي
Al Sho'ee St",2470.402956008911,,,"<s_menu><s_nm> Hogli E,La</s_nm><s_num> Al</s_cnt><s_price> Rd</s_price><sep/><s_nm> Sho'ee St</s_total>",591.9580459594727,,,"![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)",922.3339557647705,,
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",Arabic,ICDAR_mini,"الرجاء يمنع حمل
السلاح داخل
الصالة",2465.4440879821777,,,<s_menu><s_nm>,468.11795234680176,,,الرجاء يمنع حمل السلاح داخل الصالة,796.8969345092773,,
