sample_id,image_path,ground_truth,language,dataset,prediction_azure_intelligence,inference_time_ms_azure_intelligence,tokens_used_azure_intelligence,error_azure_intelligence,prediction_mistral_document_ai,inference_time_ms_mistral_document_ai,tokens_used_mistral_document_ai,error_mistral_document_ai
icdar_tr_img_00008,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00008.jpg,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>","Latin, Arabic",ICDAR_mini,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",2470.510721206665,,,"أريانة
ولاية
بكم
ترحب
BIEVENUE
AL'ARIANA
WELCOME
TO
ARIANA",921.8432903289795,,
icdar_tr_img_00019,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00019.jpg,"# LABORATOIRE

![img-0.jpeg](img-0.jpeg)

Entreprise Chiheb Electrique

Etude &amp; Câblage des Armoires Electriques

Tel.: 71 425 760 - Fax: 71 428 793

![img-1.jpeg](img-1.jpeg)","Symbols, Arabic, Latin",ICDAR_mini,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",2531.7931175231934,,,"مخبر
LABORATOIRE
Chel
Electrique
Chiheb
Electrique
Entreprise
Câblage
&
Etude
Electriques
Armoires
des
793
71
428
Fax:
760
425
Tel.:
71
-",1842.5469398498535,,
icdar_tr_img_00043,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00043.jpg,"En chère
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
Veuillez vous dire
V","None, Latin",ICDAR_mini,"La
chére
LL
S",2466.8118953704834,,,"La
chére
LL
S",1945.0139999389648,,
icdar_tr_img_00065,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00065.jpg,"ID-100000
21 242 240","Latin, Arabic",ICDAR_mini,"للتكوين
لإعلامية
في
و
للغات
21
242
240",2501.826047897339,,,"للتكوين
لإعلامية
في
و
للغات
21
242
240",979.0799617767334,,
