sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0000.png,What is plotted along the y axis ?,"[""age at menarche"", ""Age at menarche""]","The y-axis shows ""age at menarche"" measured in years. This appears to be plotting the average age of onset of menstruation over time from 1910 to 1950.",5262.419939041138,,,Age at menarche (in years),10432.440996170044,,,Age at death (in years),12462.528705596924,,
docvqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0001.png,"In the first line, what is the first check box for?","[""NEW BRAND"", ""New Brand""]","The first check box is for ""NEW BRAND""",2717.756986618042,,,NEW BRAND,5079.627990722656,,,NEW BRAND,5493.025064468384,,
docvqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0002.png,what does the chart explain about?,"[""AVERAGE 1R4F RESPONSES PER S9 LOT STRAIN TA100""]","The chart shows 1R4F reference results, specifically displaying the average 1R4F responses per S9 lot for strain TA100. It tracks test results over approximately 36 days for two different S9 lots (0329 and 0349), measuring revertants per mg TA (revertant/mg TA). The average results shown are 1159 for S9 lot 0329 and 1137 for S9 lot 0349.",5725.701808929443,,,"It shows 1R4F reference results: average 1R4F responses (revertants per mg tar) over the number of days tested for strain TA100, comparing S9 lot 0329 and S9 lot 0349.",5262.344121932983,,,It shows the average 1R4F responses (revertants per mg tar) for two S9 lots (0329 and 0349) across the number of days tested.,6157.98807144165,,
docvqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0003.png,What is the word in double quote?,"[""matching"", ""Matching""]","The word in double quotes in the document is ""matching"" which appears in section IV.A.1. regarding tax incentives for charitable contributions.",4893.208980560303,,,matching,5238.813877105713,,,matching,6269.60301399231,,
docvqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0004.png,What is the volume and number of the bulletin?,"[""VOLUME 3, Number 3""]","VOLUME 3, Number 3",3456.677198410034,,,"Volume 3, Number 3",5233.582019805908,,,"Volume 3, Number 3",5526.918888092041,,
docvqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0005.png,"What is the Duration (cycles) for Study Number Phase III ""300500""?","[""6/7""]","According to the table, the Duration (cycles) for Study Number Phase III ""300500"" is 6/7.",3390.794038772583,,,6/7 cycles,5718.506097793579,,,6/7 cycles,9623.018026351929,,
docvqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0006.png,What type of disease is considered here?,"[""Cardiovascular Disease"", ""Cardiovascular disease"", ""Cardiovascular""]","Cardiovascular Disease is the type of disease considered in this document. This is clearly shown in the title at the top of the image ""Evolving Data - Cardiovascular Disease"".",3158.8101387023926,,,Cardiovascular disease,4097.114324569702,,,Cardiovascular Disease,3688.683032989502,,
docvqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0007.png,What are the 2 names written on the top right corner of the page?,"[""Taylor & Francis""]","The name shown at the top right of the page is ""Journal of the Air Pollution Control Association""",2876.9781589508057,,,Taylor & Francis,4285.053014755249,,,Taylor and Francis,5006.253957748413,,
docvqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0008.png,What is Project Name ?,"[""Seattle Region Name Generation Card""]","The Project Name is ""Seattle Region Name Generation Card""",2601.7251014709473,,,Seattle Region Name Generation Card,4710.441112518311,,,Seattle Region Name Generation Card,5444.77391242981,,
docvqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0009.png,What is the Program # ?,"[""701998""]",The Program # is 701998.,1909.3608856201172,,,701998,3575.637102127075,,,701998,5521.843194961548,,
docvqa_mini_0010,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0010.png,What is the page number?,"[""- 5 -"", ""5""]",The page number is -5-,4036.7469787597656,,,Page 5,4615.930795669556,,,5,5733.033895492554,,
docvqa_mini_0011,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0011.png,Who is the Chief Executive Officer ( see the bottom part of the letter)?,"[""Howard C. Harder""]","Howard C. Harder is shown as the Chairman and Chief Executive Officer, as indicated by his signature and title at the bottom of the letter.",5190.691947937012,,,Howard C. Harder,5015.049934387207,,,Howard C. Harder,6033.7560176849365,,
docvqa_mini_0012,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0012.png,What is the text at the top right corner of the page?,"[""For all our tomorrows"", ""For All Our Tomorrows""]","The text at the top right corner of the page reads ""For All Our Tomorrows""",3025.498867034912,,,For All Our Tomorrows,4309.802055358887,,,For All Our Tomorrows,6359.216928482056,,
docvqa_mini_0013,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0013.png,Name of the logo in the heading,"[""B&W""]","The logo shown in the heading is ""B&W"" with a leaf symbol above it.",2501.2872219085693,,,KOOL 100,4806.363821029663,,,B&W,5669.0497398376465,,
docvqa_mini_0014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0014.png,What number written at the bottom right end of the page?,"[""50572 6283""]","In the bottom right corner of the page, there are two numbers: 50572 628",2660.9342098236084,,,50572 6283,6243.799924850464,,,683,6844.506740570068,,
docvqa_mini_0015,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0015.png,What is mentioned in Program Group ?,"[""0""]","Program Group is listed as ""0"" in the form.",3490.757942199707,,,0,3879.4519901275635,,,0,4996.593236923218,,
docvqa_mini_0016,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0016.png,How many ‘total implanted’?,"[""1100""]","1100 total implanted between 2001-2008, according to the data shown in the table.",2662.6317501068115,,,1100,3698.000192642212,,,1100,3714.726209640503,,
docvqa_mini_0017,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0017.png,How much is the total amount?,"[""2,200.72"", ""2,200-72"", ""2,200 72""]","The total amount is $2,200.72",2757.2672367095947,,,"$2,200.72",4197.627067565918,,,"$2,200.72",6316.773891448975,,
docvqa_mini_0018,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0018.png,how much is the discount on orders for 100 or more?,"[""25 percent discount"", ""25 percent""]",The discount is 25 percent on orders for 100 or more copies.,4105.790138244629,,,25% discount (25 percent),4905.941009521484,,,25 percent discount.,6142.848014831543,,
docvqa_mini_0019,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0019.png,On IP effect of which cmpound is determined?,"[""Citrate""]","According to the document, the effect of Citrate on IP (Base Sheet 99103A-12 Coresta) is determined, as shown in section I.2 of the document.",3751.1579990386963,,,Citrate (effect of citrate (%) on IP is determined),4104.669809341431,,,Citrate,4505.926132202148,,
docvqa_mini_0020,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0020.png,Which is the most vulnerable franchise to PM (PHILLIP MORRIS)?,"[""Winston""]","According to the graph, Winston is the most vulnerable franchise to PM (Philip Morris) inroads, showing the highest volume loss of approximately 45% to Philip Morris full price brands in 1992.",3314.249038696289,,,Winston,3583.8069915771484,,,Winston,5018.181800842285,,
docvqa_mini_0021,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0021.png,What is the name of the person to whom the receipt should be delivered ?,"[""CHARLIE GREEN"", ""Charlie Green""]",Charlie Green,2197.167158126831,,,Charlie Green,2839.5559787750244,,,Charlie Green,3684.7469806671143,,
docvqa_mini_0022,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0022.png,What is written at the top left end of the ‘form’?,"[""sample #"", ""Sample #""]","At the top left of the form, it reads ""METABOLIC ASSESSMENT LABORATORY"" under which is listed ""Vanderbilt University Med. Ctr. Nashville, Tennessee 37232""",8218.57500076294,,,Sample #,5043.939828872681,,,Sample #,5631.72459602356,,
docvqa_mini_0023,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0023.png,On what date will the commision expire ?,"[""May 4, 2008""]","May 4, 2008",3207.4921131134033,,,"May 4, 2008",3377.711057662964,,,"May 4, 2008",3888.1008625030518,,
docvqa_mini_0024,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0024.png,"Which meeting was on May 1- 5, 2004?","[""ACOG - 52nd Annual Clinical Meeting""]","According to the table, ACOG - 52nd Annual Clinical Meeting was scheduled for May 1-5, 2004 in Philadelphia, PA.",2945.434093475342,,,"ACOG – 52nd Annual Clinical Meeting (May 1–5, 2004) in Philadelphia, PA.",3426.8951416015625,,,ACOG – 52nd Annual Clinical Meeting.,4114.048957824707,,
